code,sector_code,source_code,sector_desc,source_desc,salinity,units,notes
PT-WSWSa,PT,WSWSa,Thermoelectric,Surface-water withdrawals,Saline,million gallons/day,
PT-WSWTo,PT,WSWTo,Thermoelectric,Surface-water withdrawals,Total,million gallons/day,
PT-WFrTo,PT,WFrTo,Thermoelectric,Total withdrawals,Fresh,million gallons/day,
PT-WSaTo,PT,WSaTo,Thermoelectric,Total withdrawals,Saline,million gallons/day,
PT-Wtotl,PT,Wtotl,Thermoelectric,Total withdrawals,Total (fresh+saline),million gallons/day,
PT-RecWW,PT,RecWW,Thermoelectric,Reclaimed wastewater,,million gallons/day,
PT-PSDel,PT,PSDel,Thermoelectric,Deliveries from public supply,,million gallons/day,
PT-CUsFr,PT,CUsFr,Thermoelectric,Total consumptive use,Fresh,million gallons/day,
PT-CUsSa,PT,CUsSa,Thermoelectric,Total consumptive use,Saline,million gallons/day,
PT-CUTot,PT,CUTot,Thermoelectric,Total consumptive use,Total (fresh+saline),million gallons/day,
PT-Power,PT,Power,Thermoelectric,Power generated,,million kilowatthours,
PO-WGWFr,PO,WGWFr,Thermoelectric once-through,Groundwater withdrawals,Fresh,million gallons/day,
PO-WGWSa,PO,WGWSa,Thermoelectric once-through,Groundwater withdrawals,Saline,million gallons/day,
PO-WGWTo,PO,WGWTo,Thermoelectric once-through,Groundwater withdrawals,Total,million gallons/day,
PO-WSWFr,PO,WSWFr,Thermoelectric once-through,Surface-water withdrawals,Fresh,million gallons/day,
PO-WSWSa,PO,WSWSa,Thermoelectric once-through,Surface-water withdrawals,Saline,million gallons/day,
PO-WSWTo,PO,WSWTo,Thermoelectric once-through,Surface-water withdrawals,Total,million gallons/day,
PO-WFrTo,PO,WFrTo,Thermoelectric once-through,Total withdrawals,Fresh,million gallons/day,
PO-WSaTo,PO,WSaTo,Thermoelectric once-through,Total withdrawals,Saline,million gallons/day,
PO-WTotl,PO,WTotl,Thermoelectric once-through,Total withdrawals,Total (fresh+saline),million gallons/day,
PO-RecWW,PO,RecWW,Thermoelectric once-through,Reclaimed wastewater,,million gallons/day,
PO-PSDel,PO,PSDel,Thermoelectric once-through,Deliveries from public supply,,million gallons/day,
PO-CUsFr,PO,CUsFr,Thermoelectric once-through,Total consumptive use,Fresh,million gallons/day,
PO-CUsSa,PO,CUsSa,Thermoelectric once-through,Total consumptive use,Saline,million gallons/day,
PO-CUTot,PO,CUTot,Thermoelectric once-through,Total consumptive use,Total (fresh+saline),million gallons/day,
PO-Power,PO,Power,Thermoelectric once-through,Power generated,,million kilowatthours,
PC-WGWFr,PC,WGWFr,Thermoelectric recirculating,Groundwater withdrawals,Fresh,million gallons/day,
PC-WGWSa,PC,WGWSa,Thermoelectric recirculating,Groundwater withdrawals,Saline,million gallons/day,
PC-WGWTo,PC,WGWTo,Thermoelectric recirculating,Groundwater withdrawals,Total,million gallons/day,
PC-WSWFr,PC,WSWFr,Thermoelectric recirculating,Surface-water withdrawals,Fresh,million gallons/day,
PC-WSWSa,PC,WSWSa,Thermoelectric recirculating,Surface-water withdrawals,Saline,million gallons/day,
PC-WSWTo,PC,WSWTo,Thermoelectric recirculating,Surface-water withdrawals,Total,million gallons/day,
PC-WFrTo,PC,WFrTo,Thermoelectric recirculating,Total withdrawals,Fresh,million gallons/day,
PC-WSaTo,PC,WSaTo,Thermoelectric recirculating,Total withdrawals,Saline,million gallons/day,
PC-WTotl,PC,WTotl,Thermoelectric recirculating,Total withdrawals,Total (fresh+saline),million gallons/day,
PC-RecWW,PC,RecWW,Thermoelectric recirculating,Reclaimed wastewater,,million gallons/day,
PC-PSDel,PC,PSDel,Thermoelectric recirculating,Deliveries from public supply,,million gallons/day,
PC-CUsFr,PC,CUsFr,Thermoelectric recirculating,Total consumptive use,Fresh,million gallons/day,
PC-CUsSa,PC,CUsSa,Thermoelectric recirculating,Total consumptive use,Saline,million gallons/day,
PC-CUTot,PC,CUTot,Thermoelectric recirculating,Total consumptive use,Total (fresh+saline),million gallons/day,
PC-Power,PC,Power,Thermoelectric recirculating,Power generated,,million kilowatthours,
TO-WGWFr,TO,WGWFr,Total,Groundwater withdrawals,Fresh,million gallons/day,
TO-WGWSa,TO,WGWSa,Total,Groundwater withdrawals,Saline,million gallons/day,
TO-WGWTo,TO,WGWTo,Total,Groundwater withdrawals,Total (fresh+saline),million gallons/day,
TO-WSWFr,TO,WSWFr,Total,Surface-water withdrawals,Fresh,million gallons/day,
TO-WSWSa,TO,WSWSa,Total,Surface-water withdrawals,Saline,million gallons/day,
TO-WSWTo,TO,WSWTo,Total,Surface-water withdrawals,Total (fresh+saline),million gallons/day,
TO-WFrTo,TO,WFrTo,Total,Withdrawals,Fresh,million gallons/day,
TO-WSaTo,TO,WSaTo,Total,Withdrawals,Saline,million gallons/day,
TO-WTotl,TO,WTotl,Total,Withdrawals,Total (fresh+saline),million gallons/day,
TO-CUsFrPartial,TO,CUsFrPartial,Irrigation and thermoelectric,Total consumptive use,Fresh,million gallons/day,
TO-CUsSaPartial,TO,CUsSaPartial,Irrigation and thermoelectric,Total consumptive use,Saline,million gallons/day,
TO-CUTotPartial,TO,CUTotPartial,Irrigation and thermoelectric,Total consumptive use,Total (fresh+saline),million gallons/day,
