msn_code,msn_desc,source_code,source_desc,sector_code,sector_desc,units
SOCCB,solar energy consumed by the commercial sector,SO,solar energy,CC,commercial sector,billion btu
SFCCB,supplemental gaseous fuels consumed by the commercial sector,SF,supplemental gaseous fuels,CC,commercial sector,billion btu
TECCB,total energy consumed by the commercial sector,TE,total energy,CC,commercial sector,billion btu
TNCCB,total energy consumed by the commercial sector excluding the sector's share of electrical system energy losses,TN,total energy excluding the sector's share of electrical system energy losses,CC,commercial sector,billion btu
WSCCB,"waste consumed by the commercial sector, total",WS,waste,CC,commercial sector,billion btu
WYCCB,wind energy consumed by the commercial sector,WY,wind energy,CC,commercial sector,billion btu
WDCCB,wood consumed by the commercial sector,WD,wood,CC,commercial sector,billion btu
WWCCB,wood and waste consumed in the commercial sector,WW,wood and waste,CC,commercial sector,billion btu
PECSB,"primary energy consumed by the commercial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",PE,primary energy,CS,commercial sector (at cost),billion btu
TNCSB,"total net energy consumed by the commercial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",TN,total energy excluding the sector's share of electrical system energy losses,CS,commercial sector (at cost),billion btu
WWCSB,wood and waste consumed in the commercial sector at a cost,WW,wood and waste,CS,commercial sector (at cost),billion btu
WWCXB,wood and waste consumed in the commercial sector at no cost,WW,wood and waste,CX,commercial sector (no cost),billion btu
GEEGB,geothermal energy consumed for electricity generation by the electric power sector,GE,geothermal energy,EG,electric power sector,billion btu
HYEGB,hydropower consumed for electricity generation by the electric power sector,HY,hydropower,EG,electric power sector,billion btu
NUEGB,nuclear energy consumed for electricity generation by the electric power sector,NU,nuclear energy,EG,electric power sector,billion btu
SOEGB,solar energy consumed for electricity generation by the electric power sector,SO,solar energy,EG,electric power sector,billion btu
WYEGB,wind energy consumed for electricity generation by the electric power sector,WY,wind energy,EG,electric power sector,billion btu
PAEIB,all petroleum products consumed by the electric power sector,PA,all petroleum products,EI,electric power sector,billion btu
CLEIB,coal consumed by the electric power sector,CL,coal,EI,electric power sector,billion btu
DFEIB,distillate fuel oil consumed by the electric power sector,DF,distillate fuel oil,EI,electric power sector,billion btu
NGEIB,natural gas consumed by the electric power sector,NG,natural gas,EI,electric power sector,billion btu
PCEIB,petroleum coke consumed by the electric power sector,PC,petroleum coke,EI,electric power sector,billion btu
RFEIB,residual fuel oil consumed by the electric power sector,RF,residual fuel oil,EI,electric power sector,billion btu
SFEIB,supplemental gaseous fuels consumed by the electric power sector,SF,supplemental gaseous fuels,EI,electric power sector,billion btu
TEEIB,total energy consumed by the electric power sector,TE,total energy,EI,electric power sector,billion btu
WSEIB,waste consumed by the electric power sector,WS,waste,EI,electric power sector,billion btu
WDEIB,wood consumed by the electric power sector,WD,wood,EI,electric power sector,billion btu
WWEIB,wood and waste consumed by the electric power sector,WW,wood and waste,EI,electric power sector,billion btu
CCEXB,coal coke exported from the united states,CC,coal coke,EX,exported from the united states,billion btu
ELEXB,electricity exported from the united states,EL,electricity,EX,exported from the united states,billion btu
WDEXB,densified biomass exports,WD,wood,EX,exported from the united states,billion btu
EMFDB,biomass inputs (feedstock) for the production of fuel ethanol,EM,"fuel ethanol, excluding denaturant",FD,for the production of fuel ethanol,billion btu
CCIMB,coal coke imported into the united states,CC,coal coke,IM,imported into the united states,billion btu
ELIMB,electricity imported into the united states,EL,electricity,IM,imported into the united states,billion btu
PAICB,all petroleum products consumed by the industrial sector,PA,all petroleum products,IC,industrial sector,billion btu
ARICB,asphalt and road oil consumed by the industrial sector,AR,asphalt and road oil,IC,industrial sector,billion btu
P1ICB,"asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" consumed by the industrial sector",P1,"asphalt and road oil, kerosene, lubricants, petroleum coke, and other petroleum products",IC,industrial sector,billion btu
ABICB,aviation gasoline blending components consumed by the industrial sector,AB,aviation gasoline blending components,IC,industrial sector,billion btu
BYICB,butylene from refineries consumed by the industrial sector,BY,butylene from refineries,IC,industrial sector,billion btu
CLICB,coal consumed by the industrial sector,CL,coal,IC,industrial sector,billion btu
COICB,crude oil consumed by the industrial sector,CO,crude oil,IC,industrial sector,billion btu
DFICB,distillate fuel oil consumed by the industrial sector,DF,distillate fuel oil,IC,industrial sector,billion btu
LOICB,the industrial sector's share of electrical system energy losses,LO,electrical system energy losses,IC,industrial sector,billion btu
ESICB,"electricity consumed by (i.e., sold to) the industrial sector",ES,electricity,IC,industrial sector,billion btu
EQICB,ethane consumed by the industrial sector,EQ,ethane,IC,industrial sector,billion btu
EYICB,ethylene from refineries consumed by the industrial sector,EY,ethylene from refineries,IC,industrial sector,billion btu
EMICB,"fuel ethanol, excluding denaturant, consumed by the industrial sector",EM,"fuel ethanol, excluding denaturant",IC,industrial sector,billion btu
GEICB,geothermal energy consumed by the industrial sector,GE,geothermal energy,IC,industrial sector,billion btu
HLICB,hydrocarbon gas liquids consumed by the industrial sector,HL,hydrocarbon gas liquids,IC,industrial sector,billion btu
HYICB,hydropower consumed by the industrial sector,HY,hydropower,IC,industrial sector,billion btu
IQICB,isobutane consumed by the industrial sector,IQ,isobutane,IC,industrial sector,billion btu
IYICB,isobutylene from refineries consumed by the industrial sector,IY,isobutylene from refineries,IC,industrial sector,billion btu
KSICB,kerosene consumed by the industrial sector,KS,kerosene,IC,industrial sector,billion btu
LUICB,lubricants consumed by the industrial sector,LU,lubricants,IC,industrial sector,billion btu
MSICB,miscellaneous petroleum products consumed by the industrial sector,MS,miscellaneous petroleum products,IC,industrial sector,billion btu
MBICB,motor gasoline blending components consumed by the industrial sector,MB,motor gasoline blending components,IC,industrial sector,billion btu
MGICB,motor gasoline consumed by the industrial sector,MG,motor gasoline consumed,IC,industrial sector,billion btu
NGICB,natural gas consumed by (delivered to) the industrial sector,NG,natural gas,IC,industrial sector,billion btu
NAICB,natural gasoline consumed by the industrial sector (through 1983),NA,natural gasoline,IC,industrial sector,billion btu
PPICB,natural gasoline (pentanes plus) consumed by the industrial sector,PP,natural gasoline (pentanes plus),IC,industrial sector,billion btu
BQICB,normal butane consumed by the industrial sector,BQ,normal butane,IC,industrial sector,billion btu
OPICB,other petroleum products consumed by the industrial sector,OP,other petroleum products,IC,industrial sector,billion btu
FNICB,"petrochemical feedstocks, naphtha, less than 401° f, consumed by the industrial sector",FN,"petrochemical feedstocks, naphtha, less than 401 f",IC,industrial sector,billion btu
FOICB,"petrochemical feedstocks, other oils equal to or greater than 401° f, consumed by the industrial sector",FO,"petrochemical feedstocks, other oils equal to or greater than 401 f",IC,industrial sector,billion btu
FSICB,"petrochemical feedstocks, still gas, consumed by the industrial sector",FS,"petrochemical feedstocks, still gas",IC,industrial sector,billion btu
PCICB,petroleum coke consumed by the industrial sector,PC,petroleum coke,IC,industrial sector,billion btu
PLICB,plant condensate consumed by the industrial sector,PL,plant condensate,IC,industrial sector,billion btu
PQICB,propane consumed by the industrial sector,PQ,propane,IC,industrial sector,billion btu
PYICB,propylene from refineries consumed by the industrial sector,PY,propylene from refineries,IC,industrial sector,billion btu
RFICB,residual fuel oil consumed by the industrial sector,RF,residual fuel oil,IC,industrial sector,billion btu
SOICB,solar energy consumed by the industrial sector,SO,solar energy,IC,industrial sector,billion btu
SNICB,special naphthas consumed by the industrial sector,SN,special naphthas,IC,industrial sector,billion btu
SGICB,still gas consumed by the industrial sector,SG,still gas,IC,industrial sector,billion btu
TEICB,total energy consumed by the industrial sector,TE,total energy,IC,industrial sector,billion btu
TNICB,total energy consumed by the industrial sector excluding the sector's share of electrical system energy losses,TN,total energy excluding the sector's share of electrical system energy losses,IC,industrial sector,billion btu
UOICB,unfinished oils consumed by the industrial sector,UO,unfinished oils,IC,industrial sector,billion btu
USICB,unfractionated streams consumed by the industrial sector,US,unfractionated streams,IC,industrial sector,billion btu
WSICB,"waste energy consumed by the industrial sector, total",WS,waste,IC,industrial sector,billion btu
WXICB,waxes consumed by the industrial sector,WX,waxes,IC,industrial sector,billion btu
WYICB,wind energy consumed by the industrial sector,WY,wind energy,IC,industrial sector,billion btu
WDICB,wood consumed by the industrial sector,WD,wood,IC,industrial sector,billion btu
WWICB,"wood and waste consumed in the industrial sector, total",WW,wood and waste,IC,industrial sector,billion btu
SFINB,supplemental gaseous fuels consumed by the industrial sector,SF,supplemental gaseous fuels,IN,industrial sector,billion btu
WWIXB,wood and waste consumed in the industrial sector at no cost,WW,wood and waste,IX,industrial sector at no cost,billion btu
PAISB,all petroleum products consumed by the industrial sector excluding process fuel and intermediate products,PA,all petroleum products,IS,industrial sector excluding refinery fuel,billion btu
P1ISB,"asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" consumed by the industrial sector excluding refinery fuel and intermediate products",P1,"asphalt and road oil, kerosene, lubricants, petroleum coke, and other petroleum products",IS,industrial sector excluding refinery fuel,billion btu
CLISB,coal consumed by the industrial sector excluding refinery fuel,CL,coal,IS,industrial sector excluding refinery fuel,billion btu
DFISB,distillate fuel oil consumed by the industrial sector excluding refinery fuel,DF,distillate fuel oil,IS,industrial sector excluding refinery fuel,billion btu
ELISB,net interstate flow of electricity and associated losses (negative and positive values),EL,electricity,IS,industrial sector excluding refinery fuel,billion btu
ESISB,electricity sales to the industrial sector excluding refinery use,ES,electricity,IS,industrial sector excluding refinery fuel,billion btu
HLISB,hydrocarbon gas liquids consumed by the industrial sector adjusted for processed fuel,HL,hydrocarbon gas liquids,IS,industrial sector excluding refinery fuel,billion btu
NGISB,natural gas consumed by the industrial sector excluding refinery fuel,NG,natural gas,IS,industrial sector excluding refinery fuel,billion btu
OPISB,other petroleum products consumed by the industrial sector excluding refinery fuel and intermediate products,OP,other petroleum products,IS,industrial sector excluding refinery fuel,billion btu
PCISB,petroleum coke consumed by the industrial sector excluding refinery fuel,PC,petroleum coke,IS,industrial sector excluding refinery fuel,billion btu
PEISB,"primary energy consumed by the industrial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",PE,primary energy,IS,industrial sector excluding refinery fuel,billion btu
PQISB,propane consumed in the industrial sector excluding refinery fuel,PQ,propane,IS,industrial sector excluding refinery fuel,billion btu
RFISB,residual fuel oil consumed by the industrial sector excluding refinery fuel,RF,residual fuel oil,IS,industrial sector excluding refinery fuel,billion btu
TNISB,"total net energy consumed by the industrial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",TN,total energy excluding the sector's share of electrical system energy losses,IS,industrial sector excluding refinery fuel,billion btu
WWISB,wood and waste consumed in the industrial sector at a cost,WW,wood and waste,IS,industrial sector excluding refinery fuel,billion btu
CLOSB,coal consumed by the industrial sector other than coke plants excluding refinery fuel,CL,coal,OS,industrial sector excluding refinery fuel,billion btu
CLOCB,coal consumed by industrial users other than coke plants,CL,coal,OC,industrial users other than coke plants,billion btu
NGLPB,natural gas consumed as lease and plant fuel,NG,natural gas,LP,lease and plant fuel,billion btu
NUETB,"nuclear energy consumed for electricity generation, total",NU,nuclear energy,ET,miscellaneous,billion btu
NGMPB,natural gas marketed production,NG,natural gas,MP,natural gas marketed production,billion btu
CCNIB,coal coke net imports into the united states,CC,coal coke,NI,net imports expenditures,billion btu
ELNIB,net imports of electricity into the united states,EL,electricity,NI,net imports expenditures,billion btu
NGPZB,natural gas for pipeline and distribution use,NG,natural gas,PZ,pipeline and distribution use,billion btu
TEPFB,total energy used as process fuel and other consumption that has no direct fuel costs,TE,total energy,PF,process fuel and other consumption that has no direct fuel costs,billion btu
PAPRB,crude oil production (including lease condensate),PA,all petroleum products,PR,production,billion btu
CLPRB,coal production,CL,coal,PR,production,billion btu
REPRB,renewable energy production,RE,renewable energy,PR,production,billion btu
ROPRB,"renewable energy production, other than fuel ethanol",RO,renewable energy production,PR,production,billion btu
TEPRB,total energy production,TE,total energy,PR,production,billion btu
WDPRB,wood energy production,WD,wood,PR,production,billion btu
EMLCB,energy losses and co-products from the production of fuel ethanol,EM,"fuel ethanol, excluding denaturant",LC,production of fuel ethanol,billion btu
CLRFB,coal consumed as refinery fuel,CL,coal,RF,refinery fuel,billion btu
DFRFB,distillate fuel oil consumed as refinery fuel,DF,distillate fuel oil,RF,refinery fuel,billion btu
ESRFB,electricity consumed by refineries,ES,electricity,RF,refinery fuel,billion btu
HLRFB,hydrocarbon gas liquids consumed as refinery fuel and intermediate products,HL,hydrocarbon gas liquids,RF,refinery fuel,billion btu
NGRFB,natural gas consumed as refinery fuel,NG,natural gas,RF,refinery fuel,billion btu
P5RFB,"other petroleum products (sg and pc consumed as process fuel and ab, mb, pp, and uo consumed as intermediate products)",P5,other petroleum products,RF,refinery fuel,billion btu
PCRFB,petroleum coke consumed as refinery fuel,PC,petroleum coke,RF,refinery fuel,billion btu
PQRFB,propane consumed as refinery fuel,PQ,propane,RF,refinery fuel,billion btu
RFRFB,residual fuel oil consumed as refinery fuel,RF,residual fuel oil,RF,refinery fuel,billion btu
TERFB,total energy used as refinery fuel and intermediate products,TE,total energy,RF,refinery fuel,billion btu
PARCB,all petroleum products consumed by the residential sector,PA,all petroleum products,RC,residential sector,billion btu
CLRCB,coal consumed by the residential sector,CL,coal,RC,residential sector,billion btu
DFRCB,distillate fuel oil consumed by the residential sector,DF,distillate fuel oil,RC,residential sector,billion btu
LORCB,the residential sector's share of electrical system energy losses,LO,electrical system energy losses,RC,residential sector,billion btu
ESRCB,"electricity consumed by (i.e., sold to) the residential sector",ES,electricity,RC,residential sector,billion btu
GERCB,geothermal energy consumed by the residential sector,GE,geothermal energy,RC,residential sector,billion btu
HLRCB,hydrocarbon gas liquids consumed by the residential sector,HL,hydrocarbon gas liquids,RC,residential sector,billion btu
KSRCB,kerosene consumed by the residential sector,KS,kerosene,RC,residential sector,billion btu
NGRCB,natural gas consumed by (delivered to) the residential sector,NG,natural gas,RC,residential sector,billion btu
PQRCB,propane consumed by the residential sector,PQ,propane,RC,residential sector,billion btu
SORCB,solar energy consumed by the residential sector,SO,solar energy,RC,residential sector,billion btu
SFRCB,supplemental gaseous fuels consumed by the residential sector,SF,supplemental gaseous fuels,RC,residential sector,billion btu
TERCB,total energy consumed by the residential sector,TE,total energy,RC,residential sector,billion btu
TNRCB,total energy consumed by the residential sector excluding the sector's share of electrical system energy losses,TN,total energy excluding the sector's share of electrical system energy losses,RC,residential sector,billion btu
WDRCB,wood consumed by the residential sector,WD,wood,RC,residential sector,billion btu
PERSB,"primary energy consumed by the residential sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",PE,primary energy,RS,residential sector at a cost,billion btu
TNRSB,"total net energy consumed by the residential sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",TN,total energy excluding the sector's share of electrical system energy losses,RS,residential sector at a cost,billion btu
WDRSB,wood consumed in the residential sector at a cost,WD,wood,RS,residential sector at a cost,billion btu
WDRXB,wood consumed in the residential sector at no cost,WD,wood,RX,residential sector at no cost,billion btu
PATCB,all petroleum products total consumption,PA,all petroleum products,TC,total consumption,billion btu
PMTCB,all petroleum products total consumption excluding fuel ethanol,PM,all petroleum products,TC,total consumption,billion btu
ARTCB,asphalt and road oil total consumption,AR,asphalt and road oil,TC,total consumption,billion btu
P1TCB,"asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total consumption",P1,"asphalt and road oil, kerosene, lubricants, petroleum coke, and other petroleum products",TC,total consumption,billion btu
AVTCB,aviation gasoline total consumption,AV,aviation gasoline,TC,total consumption,billion btu
BMTCB,biomass total consumption,BM,biomass,TC,total consumption,billion btu
BYTCB,butylene from refineries total consumption,BY,butylene from refineries,TC,total consumption,billion btu
CLTCB,coal total consumption,CL,coal,TC,total consumption,billion btu
DFTCB,distillate fuel oil total consumption,DF,distillate fuel oil,TC,total consumption,billion btu
LOTCB,total electrical system energy losses,LO,electrical system energy losses,TC,total consumption,billion btu
ESTCB,"electricity total consumption (i.e., retail sales)",ES,electricity,TC,total consumption,billion btu
EQTCB,ethane total consumption,EQ,ethane,TC,total consumption,billion btu
EYTCB,ethylene from refineries total consumption,EY,ethylene from refineries,TC,total consumption,billion btu
FFTCB,fossil fuels total consumption,FF,fossil fueled,TC,total consumption,billion btu
EMTCB,"fuel ethanol, excluding denaturant, total consumption",EM,"fuel ethanol, excluding denaturant",TC,total consumption,billion btu
GETCB,geothermal energy total consumption,GE,geothermal energy,TC,total consumption,billion btu
HLTCB,hydrocarbon gas liquids total consumption,HL,hydrocarbon gas liquids,TC,total consumption,billion btu
HYTCB,hydropower total consumption,HY,hydropower,TC,total consumption,billion btu
IQTCB,isobutane total consumption,IQ,isobutane,TC,total consumption,billion btu
IYTCB,isobutylene from refineries total consumption,IY,isobutylene from refineries,TC,total consumption,billion btu
JFTCB,jet fuel total consumption,JF,jet fuel,TC,total consumption,billion btu
KSTCB,kerosene total consumption,KS,kerosene,TC,total consumption,billion btu
LUTCB,lubricants total consumption,LU,lubricants,TC,total consumption,billion btu
MGTCB,motor gasoline total consumption,MG,motor gasoline consumed,TC,total consumption,billion btu
MMTCB,motor gasoline total consumption excluding fuel ethanol,MM,motor gasoline excluding fuel ethanol,TC,total consumption,billion btu
NGTCB,natural gas total consumption,NG,natural gas,TC,total consumption,billion btu
NNTCB,natural gas total consumption (excluding supplemental gaseous fuels),NN,natural gas total (excluding supplemental gaseous fuels),TC,total consumption,billion btu
PPTCB,natural gasoline (pentanes plus) total consumption,PP,natural gasoline (pentanes plus),TC,total consumption,billion btu
BQTCB,normal butane total consumption,BQ,normal butane,TC,total consumption,billion btu
OPTCB,other petroleum products total consumption,OP,other petroleum products,TC,total consumption,billion btu
PCTCB,petroleum coke total consumption,PC,petroleum coke,TC,total consumption,billion btu
PQTCB,propane total consumption,PQ,propane,TC,total consumption,billion btu
PYTCB,propylene from refineries total consumption,PY,propylene from refineries,TC,total consumption,billion btu
RETCB,renewable energy total consumption,RE,renewable energy,TC,total consumption,billion btu
RFTCB,residual fuel oil total consumption,RF,residual fuel oil,TC,total consumption,billion btu
SOTCB,solar energy total consumption,SO,solar energy,TC,total consumption,billion btu
SFTCB,supplemental gaseous fuels total consumption,SF,supplemental gaseous fuels,TC,total consumption,billion btu
TETCB,total energy consumption,TE,total energy,TC,total consumption,billion btu
WSTCB,waste total consumption,WS,waste,TC,total consumption,billion btu
WYTCB,wind energy total consumption,WY,wind energy,TC,total consumption,billion btu
WDTCB,wood total consumption,WD,wood,TC,total consumption,billion btu
WWTCB,wood and waste total consumption,WW,wood and waste,TC,total consumption,billion btu
PASCB,all petroleum products total consumption adjusted for process fuel and intermediate products,PA,all petroleum products,SC,total primary energy and electricity consumed,billion btu
P1SCB,"asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total consumption adjusted for process fuel and intermediate products",P1,"asphalt and road oil, kerosene, lubricants, petroleum coke, and other petroleum products",SC,total primary energy and electricity consumed,billion btu
CLSCB,coal total consumption adjusted for process fuel,CL,coal,SC,total primary energy and electricity consumed,billion btu
DFSCB,distillate fuel oil total consumption adjusted for process fuel,DF,distillate fuel oil,SC,total primary energy and electricity consumed,billion btu
ESSCB,electricity total consumption adjusted for process fuel,ES,electricity,SC,total primary energy and electricity consumed,billion btu
HLSCB,hydrocarbon gas liquids total consumption adjusted for processed fuel,HL,hydrocarbon gas liquids,SC,total primary energy and electricity consumed,billion btu
NGSCB,natural gas total consumption adjusted for process fuel,NG,natural gas,SC,total primary energy and electricity consumed,billion btu
OPSCB,other petroleum products total consumption adjusted for refinery fuel and intermediate products,OP,other petroleum products,SC,total primary energy and electricity consumed,billion btu
PCSCB,petroleum coke total consumption adjusted for process fuel,PC,petroleum coke,SC,total primary energy and electricity consumed,billion btu
PESCB,"primary energy total consumption, adjusted for process fuel, intermediate products, and fuels with no direct cost",PE,primary energy,SC,total primary energy and electricity consumed,billion btu
PQSCB,propane total consumption adjusted for process fuel,PQ,propane,SC,total primary energy and electricity consumed,billion btu
RFSCB,residential fuel oil total consumption excluding process fuel,RF,residual fuel oil,SC,total primary energy and electricity consumed,billion btu
TNSCB,total primary energy and electricity consumed,TN,total energy excluding the sector's share of electrical system energy losses,SC,total primary energy and electricity consumed,billion btu
WWSCB,"wood and waste total consumption, adjusted for fuels with no direct cost",WW,wood and waste,SC,total primary energy and electricity consumed,billion btu
PAACB,all petroleum products consumed by the transportation sector,PA,all petroleum products,AC,transportation sector,billion btu
AVACB,aviation gasoline consumed by the transportation sector,AV,aviation gasoline,AC,transportation sector,billion btu
CLACB,coal consumed by the transportation sector,CL,coal,AC,transportation sector,billion btu
DFACB,distillate fuel oil consumed by the transportation sector,DF,distillate fuel oil,AC,transportation sector,billion btu
LOACB,the transportation sector's share of electrical system energy losses,LO,electrical system energy losses,AC,transportation sector,billion btu
ESACB,"electricity consumed by (i.e., sold to) the transportation sector",ES,electricity,AC,transportation sector,billion btu
EMACB,"fuel ethanol, excluding denaturant, consumed by the transportation sector",EM,"fuel ethanol, excluding denaturant",AC,transportation sector,billion btu
HLACB,hydrocarbon gas liquids consumed by the transportation sector,HL,hydrocarbon gas liquids,AC,transportation sector,billion btu
JFACB,jet fuel consumed by the transportation sector,JF,jet fuel,AC,transportation sector,billion btu
LUACB,lubricants consumed by the transportation sector,LU,lubricants,AC,transportation sector,billion btu
MGACB,motor gasoline consumed by the transportation sector,MG,motor gasoline consumed,AC,transportation sector,billion btu
NGACB,natural gas consumed by the transportation sector,NG,natural gas,AC,transportation sector,billion btu
PQACB,propane consumed by the transportation sector,PQ,propane,AC,transportation sector,billion btu
RFACB,residual fuel oil consumed by the transportation sector,RF,residual fuel oil,AC,transportation sector,billion btu
TEACB,total energy consumed by the transportation sector,TE,total energy,AC,transportation sector,billion btu
TNACB,total energy consumed by the transportation sector excluding the sector's share of electrical system energy losses,TN,total energy excluding the sector's share of electrical system energy losses,AC,transportation sector,billion btu
NGASB,natural gas consumed by the transportation sector adjusted for process fuel,NG,natural gas,AS,transportation sector adjusted for process fuel,billion btu
PEASB,"primary energy consumed by the transportation sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",PE,primary energy,AS,transportation sector adjusted for process fuel,billion btu
TNASB,"total net energy consumed by the transportation sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",TN,total energy excluding the sector's share of electrical system energy losses,AS,transportation sector adjusted for process fuel,billion btu
MGTPV,motor gasoline expenditures per capita,MG,motor gasoline consumed,TP,total per capita,dollars
TETPV,total energy expenditures per capita,TE,total energy,TP,total per capita,dollars
PATXD,"all petroleum products average price, all end-use sectors",PA,all petroleum products,TX,all end-use sectors,dollars per million btu
ARTXD,"asphalt and road oil average price, all end-use sectors",AR,asphalt and road oil,TX,all end-use sectors,dollars per million btu
P1TXD,"asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" average price, all end-use sectors",P1,"asphalt and road oil, kerosene, lubricants, petroleum coke, and other petroleum products",TX,all end-use sectors,dollars per million btu
AVTXD,"aviation gasoline average price, all end-use sectors",AV,aviation gasoline,TX,all end-use sectors,dollars per million btu
CLTXD,"coal average price, all end-use sectors",CL,coal,TX,all end-use sectors,dollars per million btu
DFTXD,"distillate fuel oil average price, all end-use sectors",DF,distillate fuel oil,TX,all end-use sectors,dollars per million btu
ESTXD,"electricity average price, all end-use sectors",ES,electricity,TX,all end-use sectors,dollars per million btu
HLTXD,"hydrocarbon gas liquids average price, all end-use sectors",HL,hydrocarbon gas liquids,TX,all end-use sectors,dollars per million btu
JFTXD,"jet fuel average price, all end-use sectors",JF,jet fuel,TX,all end-use sectors,dollars per million btu
KSTXD,"kerosene average price, all end-use sectors",KS,kerosene,TX,all end-use sectors,dollars per million btu
LUTXD,"lubricants average price, all end-use sectors",LU,lubricants,TX,all end-use sectors,dollars per million btu
MGTXD,"motor gasoline average price, all end-use sectors",MG,motor gasoline consumed,TX,all end-use sectors,dollars per million btu
