sector_code,summary_code,underlying_code,detail_code,naics_code,sector_desc,summary_desc,underlying_desc,detail_desc,notes
11,113FF,113FF,115000,115,"Agriculture, forestry, fishing, and hunting","Forestry, fishing, and related activities","Forestry, fishing, and related activities",Support activities for agriculture and forestry,
21,211,211,211000,211,Mining,Oil and gas extraction,Oil and gas extraction,Oil and gas extraction,
21,212,212,212100,2121,Mining,"Mining, except oil and gas","Mining, except oil and gas",Coal mining,
21,212,212,2122A0,"21221, 21222, 21229",Mining,"Mining, except oil and gas","Mining, except oil and gas","Iron, gold, silver, and other metal ore mining",
21,212,212,212230,21223,Mining,"Mining, except oil and gas","Mining, except oil and gas","Copper, nickel, lead, and zinc mining",
21,212,212,212310,21231,Mining,"Mining, except oil and gas","Mining, except oil and gas",Stone mining and quarrying,
21,212,212,2123A0,"21232, 21239",Mining,"Mining, except oil and gas","Mining, except oil and gas",Other nonmetallic mineral mining and quarrying,
21,213,213,213111,213111,Mining,Support activities for mining,Support activities for mining,Drilling oil and gas wells,
21,213,213,21311A,213112-5,Mining,Support activities for mining,Support activities for mining,Other support activities for mining,
22,22,2211,221100,2211,Utilities,Utilities,"Electric power generation, transmission, and distribution","Electric power generation, transmission, and distribution",
22,22,2212NW,221200,2212,Utilities,Utilities,"Natural gas distribution and water, sewage and other systems",Natural gas distribution,
22,22,2212NW,221300,2213,Utilities,Utilities,"Natural gas distribution and water, sewage and other systems","Water, sewage and other systems",
23,23,23OT,2332D0,23,Construction,Construction,Other nonresidential structures,Other nonresidential structures,
23,23,23TH,2332C0,23,Construction,Construction,Transportation structures and highways and streets,Transportation structures and highways and streets,
31ND,311FT,311,311111,311111,Nondurable goods,Food and beverage and tobacco products,Food manufacturing,Dog and cat food manufacturing,
31ND,311FT,311,311119,311119,Nondurable goods,Food and beverage and tobacco products,Food manufacturing,Other animal food manufacturing,
31ND,311FT,311,311210,31121,Nondurable goods,Food and beverage and tobacco products,Food manufacturing,Flour milling and malt manufacturing,
31ND,311FT,311,311221,311221,Nondurable goods,Food and beverage and tobacco products,Food manufacturing,Wet corn milling,
31ND,311FT,311,311224,311224,Nondurable goods,Food and beverage and tobacco products,Food manufacturing,Soybean and other oilseed processing,
31ND,311FT,311,311225,311225,Nondurable goods,Food and beverage and tobacco products,Food manufacturing,Fats and oils refining and blending,
31ND,311FT,311,311230,31123,Nondurable goods,Food and beverage and tobacco products,Food manufacturing,Breakfast cereal manufacturing,
31ND,311FT,311,311300,3113,Nondurable goods,Food and beverage and tobacco products,Food manufacturing,Sugar and confectionery product manufacturing,
31ND,311FT,311,311410,31141,Nondurable goods,Food and beverage and tobacco products,Food manufacturing,Frozen food manufacturing,
31ND,311FT,311,311420,31142,Nondurable goods,Food and beverage and tobacco products,Food manufacturing,"Fruit and vegetable canning, pickling, and drying",
31ND,311FT,311,31151A,311511-2,Nondurable goods,Food and beverage and tobacco products,Food manufacturing,Fluid milk and butter manufacturing,
31ND,311FT,311,311513,311513,Nondurable goods,Food and beverage and tobacco products,Food manufacturing,Cheese manufacturing,
31ND,311FT,311,311514,311514,Nondurable goods,Food and beverage and tobacco products,Food manufacturing,"Dry, condensed, and evaporated dairy product manufacturing",
31ND,311FT,311,311520,31152,Nondurable goods,Food and beverage and tobacco products,Food manufacturing,Ice cream and frozen dessert manufacturing,
31ND,311FT,311,31161A,311611-3,Nondurable goods,Food and beverage and tobacco products,Food manufacturing,"Animal (except poultry) slaughtering, rendering, and processing",
31ND,311FT,311,311615,311615,Nondurable goods,Food and beverage and tobacco products,Food manufacturing,Poultry processing,
31ND,311FT,311,311700,3117,Nondurable goods,Food and beverage and tobacco products,Food manufacturing,Seafood product preparation and packaging,
31ND,311FT,311,311810,31181,Nondurable goods,Food and beverage and tobacco products,Food manufacturing,Bread and bakery product manufacturing,
31ND,311FT,311,3118A0,31182-3,Nondurable goods,Food and beverage and tobacco products,Food manufacturing,"Cookie, cracker, pasta, and tortilla manufacturing",
31ND,311FT,311,311910,31191,Nondurable goods,Food and beverage and tobacco products,Food manufacturing,Snack food manufacturing,
31ND,311FT,311,311920,31192,Nondurable goods,Food and beverage and tobacco products,Food manufacturing,Coffee and tea manufacturing,
31ND,311FT,311,311930,31193,Nondurable goods,Food and beverage and tobacco products,Food manufacturing,Flavoring syrup and concentrate manufacturing,
31ND,311FT,311,311940,31194,Nondurable goods,Food and beverage and tobacco products,Food manufacturing,Seasoning and dressing manufacturing,
31ND,311FT,311,311990,31199,Nondurable goods,Food and beverage and tobacco products,Food manufacturing,All other food manufacturing,
31ND,311FT,3121,312110,31211,Nondurable goods,Food and beverage and tobacco products,Beverage manufacturing,Soft drink and ice manufacturing,
31ND,311FT,3121,312120,31212,Nondurable goods,Food and beverage and tobacco products,Beverage manufacturing,Breweries,
31ND,311FT,3121,312130,31213,Nondurable goods,Food and beverage and tobacco products,Beverage manufacturing,Wineries,
31ND,311FT,3121,312140,31214,Nondurable goods,Food and beverage and tobacco products,Beverage manufacturing,Distilleries,
31ND,311FT,3122,312200,3122,Nondurable goods,Food and beverage and tobacco products,Tobacco manufacturing,Tobacco manufacturing,
31ND,313TT,313TT,313100,3131,Nondurable goods,Textile mills and textile product mills,Textile mills and textile product mills,"Fiber, yarn, and thread mills",
31ND,313TT,313TT,313200,3132,Nondurable goods,Textile mills and textile product mills,Textile mills and textile product mills,Fabric mills,
31ND,313TT,313TT,313300,3133,Nondurable goods,Textile mills and textile product mills,Textile mills and textile product mills,Textile and fabric finishing and fabric coating mills,
31ND,313TT,313TT,314110,31411,Nondurable goods,Textile mills and textile product mills,Textile mills and textile product mills,Carpet and rug mills,
31ND,313TT,313TT,314120,31412,Nondurable goods,Textile mills and textile product mills,Textile mills and textile product mills,Curtain and linen mills,
31ND,313TT,313TT,314900,3149,Nondurable goods,Textile mills and textile product mills,Textile mills and textile product mills,Other textile product mills,
31ND,315AL,315AL,315000,315,Nondurable goods,Apparel and leather and allied products,Apparel and leather and allied products,Apparel manufacturing,
31ND,315AL,315AL,316000,316,Nondurable goods,Apparel and leather and allied products,Apparel and leather and allied products,Leather and allied product manufacturing,
31ND,322,322,322110,32211,Nondurable goods,Paper products,Paper products,Pulp mills,
31ND,322,322,322120,32212,Nondurable goods,Paper products,Paper products,Paper mills,
31ND,322,322,322130,32213,Nondurable goods,Paper products,Paper products,Paperboard mills,
31ND,322,322,322210,32221,Nondurable goods,Paper products,Paper products,Paperboard container manufacturing,
31ND,322,322,322220,32222,Nondurable goods,Paper products,Paper products,Paper bag and coated and treated paper manufacturing,
31ND,322,322,322230,32223,Nondurable goods,Paper products,Paper products,Stationery product manufacturing,
31ND,322,322,322291,322291,Nondurable goods,Paper products,Paper products,Sanitary paper product manufacturing,
31ND,322,322,322299,322299,Nondurable goods,Paper products,Paper products,All other converted paper product manufacturing,
31ND,323,323,323110,32311,Nondurable goods,Printing and related support activities,Printing and related support activities,Printing,
31ND,323,323,323120,32312,Nondurable goods,Printing and related support activities,Printing and related support activities,Support activities for printing,
31ND,324,324,324110,32411,Nondurable goods,Petroleum and coal products,Petroleum and coal products,Petroleum refineries,
31ND,324,324,324121,324121,Nondurable goods,Petroleum and coal products,Petroleum and coal products,Asphalt paving mixture and block manufacturing,
31ND,324,324,324122,324122,Nondurable goods,Petroleum and coal products,Petroleum and coal products,Asphalt shingle and coating materials manufacturing,
31ND,324,324,324190,32419,Nondurable goods,Petroleum and coal products,Petroleum and coal products,Other petroleum and coal products manufacturing,
31ND,325,3251,325110,32511,Nondurable goods,Chemical products,Basic chemical manufacturing,Petrochemical manufacturing,
31ND,325,3251,325120,32512,Nondurable goods,Chemical products,Basic chemical manufacturing,Industrial gas manufacturing,
31ND,325,3251,325130,32513,Nondurable goods,Chemical products,Basic chemical manufacturing,Synthetic dye and pigment manufacturing,
31ND,325,3251,325180,32518,Nondurable goods,Chemical products,Basic chemical manufacturing,Other basic inorganic chemical manufacturing,
31ND,325,3251,325190,32519,Nondurable goods,Chemical products,Basic chemical manufacturing,Other basic organic chemical manufacturing,
31ND,325,3252,325211,325211,Nondurable goods,Chemical products,"Resin, rubber, and artificial fibers manufacturing",Plastics material and resin manufacturing,
31ND,325,3252,3252A0,"325212, 32522",Nondurable goods,Chemical products,"Resin, rubber, and artificial fibers manufacturing",Synthetic rubber and artificial and synthetic fibers and filaments manufacturing,
31ND,325,3254,325411,325411,Nondurable goods,Chemical products,Pharmaceutical and medicine manufacturing,Medicinal and botanical manufacturing,
31ND,325,3254,325412,325412,Nondurable goods,Chemical products,Pharmaceutical and medicine manufacturing,Pharmaceutical preparation manufacturing,
31ND,325,3254,325413,325413,Nondurable goods,Chemical products,Pharmaceutical and medicine manufacturing,In-vitro diagnostic substance manufacturing,
31ND,325,3254,325414,325414,Nondurable goods,Chemical products,Pharmaceutical and medicine manufacturing,Biological product (except diagnostic) manufacturing,
31ND,325,325X,325310,32531,Nondurable goods,Chemical products,Other chemical manufacturing,Fertilizer manufacturing,
31ND,325,325X,325320,32532,Nondurable goods,Chemical products,Other chemical manufacturing,Pesticide and other agricultural chemical manufacturing,
31ND,325,325X,325510,32551,Nondurable goods,Chemical products,Other chemical manufacturing,Paint and coating manufacturing,
31ND,325,325X,325520,32552,Nondurable goods,Chemical products,Other chemical manufacturing,Adhesive manufacturing,
31ND,325,325X,325610,32561,Nondurable goods,Chemical products,Other chemical manufacturing,Soap and cleaning compound manufacturing,
31ND,325,325X,325620,32562,Nondurable goods,Chemical products,Other chemical manufacturing,Toilet preparation manufacturing,
31ND,325,325X,325910,32591,Nondurable goods,Chemical products,Other chemical manufacturing,Printing ink manufacturing,
31ND,325,325X,3259A0,"32592, 32599",Nondurable goods,Chemical products,Other chemical manufacturing,All other chemical product and preparation manufacturing,
31ND,326,326,326110,32611,Nondurable goods,Plastics and rubber products,Plastics and rubber products,Plastics packaging materials and unlaminated film and sheet manufacturing,
31ND,326,326,326120,32612,Nondurable goods,Plastics and rubber products,Plastics and rubber products,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing",
31ND,326,326,326130,32613,Nondurable goods,Plastics and rubber products,Plastics and rubber products,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",
31ND,326,326,326140,32614,Nondurable goods,Plastics and rubber products,Plastics and rubber products,Polystyrene foam product manufacturing,
31ND,326,326,326150,32615,Nondurable goods,Plastics and rubber products,Plastics and rubber products,Urethane and other foam product (except polystyrene) manufacturing,
31ND,326,326,326160,32616,Nondurable goods,Plastics and rubber products,Plastics and rubber products,Plastics bottle manufacturing,
31ND,326,326,326190,32619,Nondurable goods,Plastics and rubber products,Plastics and rubber products,Other plastics product manufacturing,
31ND,326,326,326210,32621,Nondurable goods,Plastics and rubber products,Plastics and rubber products,Tire manufacturing,
31ND,326,326,326220,32622,Nondurable goods,Plastics and rubber products,Plastics and rubber products,Rubber and plastics hoses and belting manufacturing,
31ND,326,326,326290,32629,Nondurable goods,Plastics and rubber products,Plastics and rubber products,Other rubber product manufacturing,
33DG,321,321,321100,3211,Durable goods,Wood products,Wood products,Sawmills and wood preservation,
33DG,321,321,321200,3212,Durable goods,Wood products,Wood products,"Veneer, plywood, and engineered wood product manufacturing",
33DG,321,321,321910,32191,Durable goods,Wood products,Wood products,Millwork,
33DG,321,321,3219A0,32192-9,Durable goods,Wood products,Wood products,All other wood product manufacturing,
33DG,327,327,327100,3271,Durable goods,Nonmetallic mineral products,Nonmetallic mineral products,Clay product and refractory manufacturing,
33DG,327,327,327200,3272,Durable goods,Nonmetallic mineral products,Nonmetallic mineral products,Glass and glass product manufacturing,
33DG,327,327,327310,32731,Durable goods,Nonmetallic mineral products,Nonmetallic mineral products,Cement manufacturing,
33DG,327,327,327320,32732,Durable goods,Nonmetallic mineral products,Nonmetallic mineral products,Ready-mix concrete manufacturing,
33DG,327,327,327330,32733,Durable goods,Nonmetallic mineral products,Nonmetallic mineral products,"Concrete pipe, brick, and block manufacturing",
33DG,327,327,327390,32739,Durable goods,Nonmetallic mineral products,Nonmetallic mineral products,Other concrete product manufacturing,
33DG,327,327,327400,3274,Durable goods,Nonmetallic mineral products,Nonmetallic mineral products,Lime and gypsum product manufacturing,
33DG,327,327,327910,32791,Durable goods,Nonmetallic mineral products,Nonmetallic mineral products,Abrasive product manufacturing,
33DG,327,327,327991,327991,Durable goods,Nonmetallic mineral products,Nonmetallic mineral products,Cut stone and stone product manufacturing,
33DG,327,327,327992,327992,Durable goods,Nonmetallic mineral products,Nonmetallic mineral products,Ground or treated mineral and earth manufacturing,
33DG,327,327,327993,327993,Durable goods,Nonmetallic mineral products,Nonmetallic mineral products,Mineral wool manufacturing,
33DG,327,327,327999,327999,Durable goods,Nonmetallic mineral products,Nonmetallic mineral products,Miscellaneous nonmetallic mineral products,
33DG,331,3311IS,331110,3311,Durable goods,Primary metals,Iron and steel mills and manufacturing from purchased steel,Iron and steel mills and ferroalloy manufacturing,
33DG,331,3311IS,331200,3312,Durable goods,Primary metals,Iron and steel mills and manufacturing from purchased steel,Steel product manufacturing from purchased steel,
33DG,331,3313NF,331313,331313,Durable goods,Primary metals,Nonferrous metal production and processing and foundries,Alumina refining and primary aluminum production,
33DG,331,3313NF,33131B,"331315, 331318",Durable goods,Primary metals,Nonferrous metal production and processing and foundries,Aluminum product manufacturing from purchased aluminum,
33DG,331,3313NF,331410,331410,Durable goods,Primary metals,Nonferrous metal production and processing and foundries,Nonferrous metal (except aluminum) smelting and refining,
33DG,331,3313NF,331420,33142,Durable goods,Primary metals,Nonferrous metal production and processing and foundries,"Copper rolling, drawing, extruding and alloying",
33DG,331,3313NF,331490,33149,Durable goods,Primary metals,Nonferrous metal production and processing and foundries,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",
33DG,331,3313NF,331510,33151,Durable goods,Primary metals,Nonferrous metal production and processing and foundries,Ferrous metal foundries,
33DG,331,3313NF,331520,33152,Durable goods,Primary metals,Nonferrous metal production and processing and foundries,Nonferrous metal foundries,
33DG,332,332,33211A,"332111-2, 332117",Durable goods,Fabricated metal products,Fabricated metal products,"All other forging, stamping, and sintering",
33DG,332,332,332114,332114,Durable goods,Fabricated metal products,Fabricated metal products,Custom roll forming,
33DG,332,332,332119,332119,Durable goods,Fabricated metal products,Fabricated metal products,"Metal crown, closure, and other metal stamping (except automotive)",
33DG,332,332,332200,3322,Durable goods,Fabricated metal products,Fabricated metal products,Cutlery and handtool manufacturing,
33DG,332,332,332310,33231,Durable goods,Fabricated metal products,Fabricated metal products,Plate work and fabricated structural product manufacturing,
33DG,332,332,332320,33232,Durable goods,Fabricated metal products,Fabricated metal products,Ornamental and architectural metal products manufacturing,
33DG,332,332,332410,33241,Durable goods,Fabricated metal products,Fabricated metal products,Power boiler and heat exchanger manufacturing,
33DG,332,332,332420,33242,Durable goods,Fabricated metal products,Fabricated metal products,Metal tank (heavy gauge) manufacturing,
33DG,332,332,332430,33243,Durable goods,Fabricated metal products,Fabricated metal products,"Metal can, box, and other metal container (light gauge) manufacturing",
33DG,332,332,332500,3325,Durable goods,Fabricated metal products,Fabricated metal products,Hardware manufacturing,
33DG,332,332,332600,3326,Durable goods,Fabricated metal products,Fabricated metal products,Spring and wire product manufacturing,
33DG,332,332,332710,33271,Durable goods,Fabricated metal products,Fabricated metal products,Machine shops,
33DG,332,332,332720,33272,Durable goods,Fabricated metal products,Fabricated metal products,"Turned product and screw, nut, and bolt manufacturing",
33DG,332,332,332800,3328,Durable goods,Fabricated metal products,Fabricated metal products,"Coating, engraving, heat treating and allied activities",
33DG,332,332,33291A,"332911-2, 332919",Durable goods,Fabricated metal products,Fabricated metal products,Valve and fittings other than plumbing,
33DG,332,332,332913,332913,Durable goods,Fabricated metal products,Fabricated metal products,Plumbing fixture fitting and trim manufacturing,
33DG,332,332,332991,332991,Durable goods,Fabricated metal products,Fabricated metal products,Ball and roller bearing manufacturing,
33DG,332,332,33299A,332992-4,Durable goods,Fabricated metal products,Fabricated metal products,"Ammunition, arms, ordnance, and accessories manufacturing",
33DG,332,332,332996,332996,Durable goods,Fabricated metal products,Fabricated metal products,Fabricated pipe and pipe fitting manufacturing,
33DG,332,332,332999,332999,Durable goods,Fabricated metal products,Fabricated metal products,Other fabricated metal manufacturing,
33DG,333,33311,333111,333111,Durable goods,Machinery,Agricultural implement manufacturing,Farm machinery and equipment manufacturing,
33DG,333,33311,333112,333112,Durable goods,Machinery,Agricultural implement manufacturing,Lawn and garden equipment manufacturing,
33DG,333,33312,333120,33312,Durable goods,Machinery,Construction machinery manufacturing,Construction machinery manufacturing,
33DG,333,33313,333130,33313,Durable goods,Machinery,Mining and oil and gas field machinery manufacturing,Mining and oil and gas field machinery manufacturing,
33DG,333,3332OM,33329A,"333241, 333243, 333244, 333249",Durable goods,Machinery,Other machinery,Other industrial machinery manufacturing,
33DG,333,3332OM,333242,333242,Durable goods,Machinery,Other machinery,Semiconductor machinery manufacturing,
33DG,333,3332OM,333314,333314,Durable goods,Machinery,Other machinery,Optical instrument and lens manufacturing,
33DG,333,3332OM,333316,333316,Durable goods,Machinery,Other machinery,Photographic and photocopying equipment manufacturing,
33DG,333,3332OM,333318,333318,Durable goods,Machinery,Other machinery,Other commercial and service industry machinery manufacturing,
33DG,333,3332OM,333413,333413,Durable goods,Machinery,Other machinery,Industrial and commercial fan and blower and air purification equipment manufacturing,
33DG,333,3332OM,333414,333414,Durable goods,Machinery,Other machinery,Heating equipment (except warm air furnaces) manufacturing,
33DG,333,3332OM,333415,333415,Durable goods,Machinery,Other machinery,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",
33DG,333,3332OM,333511,333511,Durable goods,Machinery,Other machinery,Industrial mold manufacturing,
33DG,333,3332OM,333514,333514,Durable goods,Machinery,Other machinery,"Special tool, die, jig, and fixture manufacturing",
33DG,333,3332OM,33351B,"333515, 333519",Durable goods,Machinery,Other machinery,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing",
33DG,333,3332OM,333517,333517,Durable goods,Machinery,Other machinery,Machine tool manufacturing,
33DG,333,3332OM,333611,333611,Durable goods,Machinery,Other machinery,Turbine and turbine generator set units manufacturing,
33DG,333,3332OM,333612,333612,Durable goods,Machinery,Other machinery,"Speed changer, industrial high-speed drive, and gear manufacturing",
33DG,333,3332OM,333613,333613,Durable goods,Machinery,Other machinery,Mechanical power transmission equipment manufacturing,
33DG,333,3332OM,333618,333618,Durable goods,Machinery,Other machinery,Other engine equipment manufacturing,
33DG,333,3332OM,33391A,"333911, 333913",Durable goods,Machinery,Other machinery,Pump and pumping equipment manufacturing,
33DG,333,3332OM,333912,333912,Durable goods,Machinery,Other machinery,Air and gas compressor manufacturing,
33DG,333,3332OM,333920,33392,Durable goods,Machinery,Other machinery,Material handling equipment manufacturing,
33DG,333,3332OM,333991,333991,Durable goods,Machinery,Other machinery,Power-driven handtool manufacturing,
33DG,333,3332OM,33399A,"333992, 333997, 333999",Durable goods,Machinery,Other machinery,Other general purpose machinery manufacturing,
33DG,333,3332OM,333993,333993,Durable goods,Machinery,Other machinery,Packaging machinery manufacturing,
33DG,333,3332OM,333994,333994,Durable goods,Machinery,Other machinery,Industrial process furnace and oven manufacturing,
33DG,333,3332OM,33399B,333995-6,Durable goods,Machinery,Other machinery,Fluid power process machinery,
33DG,334,3341,334111,334111,Durable goods,Computer and electronic products,Computer and peripheral equipment manufacturing,Electronic computer manufacturing,
33DG,334,3341,334112,334112,Durable goods,Computer and electronic products,Computer and peripheral equipment manufacturing,Computer storage device manufacturing,
33DG,334,3341,334118,334118,Durable goods,Computer and electronic products,Computer and peripheral equipment manufacturing,Computer terminals and other computer peripheral equipment manufacturing,
33DG,334,3342,334210,33421,Durable goods,Computer and electronic products,Communications equipment manufacturing,Telephone apparatus manufacturing,
33DG,334,3342,334220,33422,Durable goods,Computer and electronic products,Communications equipment manufacturing,Broadcast and wireless communications equipment,
33DG,334,3342,334290,33429,Durable goods,Computer and electronic products,Communications equipment manufacturing,Other communications equipment manufacturing,
33DG,334,3344,33441A,"334412, 334416, 334417, 334419",Durable goods,Computer and electronic products,Semiconductor and other electronic component manufacturing,Other electronic component manufacturing,
33DG,334,3344,334413,334413,Durable goods,Computer and electronic products,Semiconductor and other electronic component manufacturing,Semiconductor and related device manufacturing,
33DG,334,3344,334418,334418,Durable goods,Computer and electronic products,Semiconductor and other electronic component manufacturing,Printed circuit assembly (electronic assembly) manufacturing,
33DG,334,3345,334510,334510,Durable goods,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments manufacturing",Electromedical and electrotherapeutic apparatus manufacturing,
33DG,334,3345,334511,334511,Durable goods,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments manufacturing","Search, detection, and navigation instruments manufacturing",
33DG,334,3345,334512,334512,Durable goods,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments manufacturing",Automatic environmental control manufacturing,
33DG,334,3345,334513,334513,Durable goods,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments manufacturing",Industrial process variable instruments manufacturing,
33DG,334,3345,334514,334514,Durable goods,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments manufacturing",Totalizing fluid meter and counting device manufacturing,
33DG,334,3345,334515,334515,Durable goods,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments manufacturing",Electricity and signal testing instruments manufacturing,
33DG,334,3345,334516,334516,Durable goods,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments manufacturing",Analytical laboratory instrument manufacturing,
33DG,334,3345,334517,334517,Durable goods,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments manufacturing",Irradiation apparatus manufacturing,
33DG,334,3345,33451A,334519,Durable goods,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments manufacturing","Watch, clock, and other measuring and controlling device manufacturing",
33DG,334,334X,334300,3343,Durable goods,Computer and electronic products,Other computer and electronic product manufacturing,Audio and video equipment manufacturing,
33DG,334,334X,334610,33461,Durable goods,Computer and electronic products,Other computer and electronic product manufacturing,Manufacturing and reproducing magnetic and optical media,
33DG,335,335,335110,33511,Durable goods,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components",Electric lamp bulb and part manufacturing,
33DG,335,335,335120,33512,Durable goods,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components",Lighting fixture manufacturing,
33DG,335,335,335210,33521,Durable goods,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components",Small electrical appliance manufacturing,
33DG,335,335,335221,335221,Durable goods,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components",Household cooking appliance manufacturing,
33DG,335,335,335222,335222,Durable goods,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components",Household refrigerator and home freezer manufacturing,
33DG,335,335,335224,335224,Durable goods,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components",Household laundry equipment manufacturing,
33DG,335,335,335228,335228,Durable goods,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components",Other major household appliance manufacturing,
33DG,335,335,335311,335311,Durable goods,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Power, distribution, and specialty transformer manufacturing",
33DG,335,335,335312,335312,Durable goods,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components",Motor and generator manufacturing,
33DG,335,335,335313,335313,Durable goods,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components",Switchgear and switchboard apparatus manufacturing,
33DG,335,335,335314,335314,Durable goods,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components",Relay and industrial control manufacturing,
33DG,335,335,335911,335911,Durable goods,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components",Storage battery manufacturing,
33DG,335,335,335912,335912,Durable goods,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components",Primary battery manufacturing,
33DG,335,335,335920,33592,Durable goods,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components",Communication and energy wire and cable manufacturing,
33DG,335,335,335930,33593,Durable goods,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components",Wiring device manufacturing,
33DG,335,335,335991,335991,Durable goods,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components",Carbon and graphite product manufacturing,
33DG,335,335,335999,335999,Durable goods,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components",All other miscellaneous electrical equipment and component manufacturing,
