sgf_1997,line_num_1997,sgf_1997_relabel,sgf_1997_units,sgf_1998,line_num_1998,sgf_1998_relabel,sgf_1998_units,sgf_1999,line_num_1999,sgf_1999_relabel,sgf_1999_units,sgf_2000,line_num_2000,sgf_2000_relabel,sgf_2000_units,sgf_2001,line_num_2001,sgf_2001_relabel,sgf_2001_units,sgf_2002,line_num_2002,sgf_2002_relabel,sgf_2002_units,sgf_2003,line_num_2003,sgf_2003_relabel,sgf_2003_units,sgf_2004,line_num_2004,sgf_2004_relabel,sgf_2004_units,sgf_2005,line_num_2005,sgf_2005_relabel,sgf_2005_units,sgf_2006,line_num_2006,sgf_2006_relabel,sgf_2006_units,sgf_2007,line_num_2007,sgf_2007_relabel,sgf_2007_units,sgf_2008,line_num_2008,sgf_2008_relabel,sgf_2008_units,sgf_2009,line_num_2009,sgf_2009_relabel,sgf_2009_units,sgf_2010,line_num_2010,sgf_2010_relabel,sgf_2010_units,sgf_2011,line_num_2011,sgf_2011_relabel,sgf_2011_units,sgf_2012,sgf_2012_relabel,sgf_2012_units,sgf_2013,sgf_2013_relabel,sgf_2013_units,finsrc.id_2014,finsrc.id_2014_relabel,finsrc.id_2014_units,finsrc.id_2015,finsrc.id_2015_relabel,finsrc.id_2015_units,finsrc.id_2016,finsrc.id_2016_relabel,finsrc.id_2016_units
Other taxes,11,Total Revenue - General Revenue - Total Taxes - All Other Taxes,thousands of us dollars (USD),Other taxes,11,Total Revenue - General Revenue - Total Taxes - All Other Taxes,thousands of us dollars (USD),Corporate income tax,11,Total Revenue - General Revenue - Total Taxes - Corporation Net Income Taxes,thousands of us dollars (USD),Corporate income tax,11,Total Revenue - General Revenue - Total Taxes - Corporation Net Income Taxes,thousands of us dollars (USD),Corporate income tax,11,Total Revenue - General Revenue - Total Taxes - Corporation Net Income Taxes,thousands of us dollars (USD),Other taxes,11,Total Revenue - General Revenue - Total Taxes - All Other Taxes,thousands of us dollars (USD),Other taxes,11,Total Revenue - General Revenue - Total Taxes - All Other Taxes,thousands of us dollars (USD),Current charges,11,Total Revenue - General Revenue - Current Charges,thousands of us dollars (USD),Current charges,11,Total Revenue - General Revenue - Current Charges,thousands of us dollars (USD),Current charges,11,Total Revenue - General Revenue - Current Charges,thousands of us dollars (USD),Current charges,11,Total Revenue - General Revenue - Current Charges,thousands of us dollars (USD),Current charges,11,Total Revenue - General Revenue - Current Charges,thousands of us dollars (USD),Current charges,11,Total Revenue - General Revenue - Current Charges,thousands of us dollars (USD),Current charges,11,Total Revenue - General Revenue - Current Charges,thousands of us dollars (USD),Current charges,11,Total Revenue - General Revenue - Current Charges,thousands of us dollars (USD),SGF011,Total Revenue - General Revenue - Total Taxes - Corporation Net Income Taxes,thousands of us dollars (USD),SGF011,Total Revenue - General Revenue - Total Taxes - Corporation Net Income Taxes,thousands of us dollars (USD),103,Total Revenue - General Revenue - Current Charges,thousands of us dollars (USD),103,Total Revenue - General Revenue - Current Charges,thousands of us dollars (USD),103,Total Revenue - General Revenue - Current Charges,thousands of us dollars (USD)
Current charges,12,Total Revenue - General Revenue - Current Charges,thousands of us dollars (USD),Current charges,12,Total Revenue - General Revenue - Current Charges,thousands of us dollars (USD),Other taxes,12,Total Revenue - General Revenue - Total Taxes - All Other Taxes,thousands of us dollars (USD),Other taxes,12,Total Revenue - General Revenue - Total Taxes - All Other Taxes,thousands of us dollars (USD),Other taxes,12,Total Revenue - General Revenue - Total Taxes - All Other Taxes,thousands of us dollars (USD),Current charges,12,Total Revenue - General Revenue - Current Charges,thousands of us dollars (USD),Current charges,12,Total Revenue - General Revenue - Current Charges,thousands of us dollars (USD),Miscellaneous general revenue,12,Total Revenue - General Revenue - Miscellaneous General Revenue,thousands of us dollars (USD),Miscellaneous general revenue,12,Total Revenue - General Revenue - Miscellaneous General Revenue,thousands of us dollars (USD),Miscellaneous general revenue,12,Total Revenue - General Revenue - Miscellaneous General Revenue,thousands of us dollars (USD),Miscellaneous general revenue,12,Total Revenue - General Revenue - Miscellaneous General Revenue,thousands of us dollars (USD),Miscellaneous general revenue,12,Total Revenue - General Revenue - Miscellaneous General Revenue,thousands of us dollars (USD),Miscellaneous general revenue,12,Total Revenue - General Revenue - Miscellaneous General Revenue,thousands of us dollars (USD),Miscellaneous general revenue,12,Total Revenue - General Revenue - Miscellaneous General Revenue,thousands of us dollars (USD),Miscellaneous general revenue,12,Total Revenue - General Revenue - Miscellaneous General Revenue,thousands of us dollars (USD),SGF012,Total Revenue - General Revenue - Total Taxes - All Other Taxes,thousands of us dollars (USD),SGF012,Total Revenue - General Revenue - Total Taxes - All Other Taxes,thousands of us dollars (USD),104,Total Revenue - General Revenue - Miscellaneous General Revenue,thousands of us dollars (USD),104,Total Revenue - General Revenue - Miscellaneous General Revenue,thousands of us dollars (USD),104,Total Revenue - General Revenue - Miscellaneous General Revenue,thousands of us dollars (USD)
Miscellaneous general revenue,13,Total Revenue - General Revenue - Miscellaneous General Revenue,thousands of us dollars (USD),Miscellaneous general revenue,13,Total Revenue - General Revenue - Miscellaneous General Revenue,thousands of us dollars (USD),Current charges,13,Total Revenue - General Revenue - Current Charges,thousands of us dollars (USD),Current charges,13,Total Revenue - General Revenue - Current Charges,thousands of us dollars (USD),Current charges,13,Total Revenue - General Revenue - Current Charges,thousands of us dollars (USD),Miscellaneous general revenue,13,Total Revenue - General Revenue - Miscellaneous General Revenue,thousands of us dollars (USD),Miscellaneous general revenue,13,Total Revenue - General Revenue - Miscellaneous General Revenue,thousands of us dollars (USD),Utility revenue,13,Total Revenue - Utility Revenue,thousands of us dollars (USD),Utility revenue,13,Total Revenue - Utility Revenue,thousands of us dollars (USD),Utility revenue,13,Total Revenue - Utility Revenue,thousands of us dollars (USD),Utility revenue,13,Total Revenue - Utility Revenue,thousands of us dollars (USD),Utility revenue,13,Total Revenue - Utility Revenue,thousands of us dollars (USD),Utility revenue,13,Total Revenue - Utility Revenue,thousands of us dollars (USD),Utility revenue,13,Total Revenue - Utility Revenue,thousands of us dollars (USD),Utility revenue,13,Total Revenue - Utility Revenue,thousands of us dollars (USD),SGF013,Total Revenue - General Revenue - Current Charges,thousands of us dollars (USD),SGF013,Total Revenue - General Revenue - Current Charges,thousands of us dollars (USD),11,Total Revenue - Utility Revenue,thousands of us dollars (USD),11,Total Revenue - Utility Revenue,thousands of us dollars (USD),11,Total Revenue - Utility Revenue,thousands of us dollars (USD)
Utility revenue,14,Total Revenue - Utility Revenue,thousands of us dollars (USD),Utility revenue,14,Total Revenue - Utility Revenue,thousands of us dollars (USD),Miscellaneous general revenue,14,Total Revenue - General Revenue - Miscellaneous General Revenue,thousands of us dollars (USD),Miscellaneous general revenue,14,Total Revenue - General Revenue - Miscellaneous General Revenue,thousands of us dollars (USD),Miscellaneous general revenue,14,Total Revenue - General Revenue - Miscellaneous General Revenue,thousands of us dollars (USD),Utility revenue,14,Total Revenue - Utility Revenue,thousands of us dollars (USD),Utility revenue,14,Total Revenue - Utility Revenue,thousands of us dollars (USD),Liquor store revenue,14,Total Revenue - Liquor Stores Revenue,thousands of us dollars (USD),Liquor store revenue,14,Total Revenue - Liquor Stores Revenue,thousands of us dollars (USD),Liquor store revenue,14,Total Revenue - Liquor Stores Revenue,thousands of us dollars (USD),Liquor stores revenue,14,Total Revenue - Liquor Stores Revenue,thousands of us dollars (USD),Liquor stores revenue,14,Total Revenue - Liquor Stores Revenue,thousands of us dollars (USD),Liquor stores revenue,14,Total Revenue - Liquor Stores Revenue,thousands of us dollars (USD),Liquor stores revenue,14,Total Revenue - Liquor Stores Revenue,thousands of us dollars (USD),Liquor stores revenue,14,Total Revenue - Liquor Stores Revenue,thousands of us dollars (USD),SGF014,Total Revenue - General Revenue - Miscellaneous General Revenue,thousands of us dollars (USD),SGF014,Total Revenue - General Revenue - Miscellaneous General Revenue,thousands of us dollars (USD),12,Total Revenue - Liquor Stores Revenue,thousands of us dollars (USD),12,Total Revenue - Liquor Stores Revenue,thousands of us dollars (USD),12,Total Revenue - Liquor Stores Revenue,thousands of us dollars (USD)
Liquor stores revenue,15,Total Revenue - Liquor Stores Revenue,thousands of us dollars (USD),Liquor stores revenue,15,Total Revenue - Liquor Stores Revenue,thousands of us dollars (USD),Utility revenue,15,Total Revenue - Utility Revenue,thousands of us dollars (USD),Utility revenue,15,Total Revenue - Utility Revenue,thousands of us dollars (USD),Utility revenue,15,Total Revenue - Utility Revenue,thousands of us dollars (USD),Liquor store revenue,15,Total Revenue - Liquor Stores Revenue,thousands of us dollars (USD),Liquor store revenue,15,Total Revenue - Liquor Stores Revenue,thousands of us dollars (USD),Insurance trust revenue (1),15,Total Revenue - Insurance Trust Revenue,thousands of us dollars (USD),Insurance trust revenue (1),15,Total Revenue - Insurance Trust Revenue,thousands of us dollars (USD),Insurance trust revenue (1),15,Total Revenue - Insurance Trust Revenue,thousands of us dollars (USD),Insurance trust revenue (1),15,Total Revenue - Insurance Trust Revenue,thousands of us dollars (USD),Insurance trust revenue (1),15,Total Revenue - Insurance Trust Revenue,thousands of us dollars (USD),Insurance trust revenue (1),15,Total Revenue - Insurance Trust Revenue,thousands of us dollars (USD),Insurance trust revenue (1),15,Total Revenue - Insurance Trust Revenue,thousands of us dollars (USD),Insurance trust revenue (1),15,Total Revenue - Insurance Trust Revenue,thousands of us dollars (USD),SGF015,Total Revenue - Utility Revenue,thousands of us dollars (USD),SGF015,Total Revenue - Utility Revenue,thousands of us dollars (USD),13,Total Revenue - Insurance Trust Revenue,thousands of us dollars (USD),13,Total Revenue - Insurance Trust Revenue,thousands of us dollars (USD),13,Total Revenue - Insurance Trust Revenue,thousands of us dollars (USD)
Insurance trust revenue,16,Total Revenue - Insurance Trust Revenue,thousands of us dollars (USD),Insurance trust revenue,16,Total Revenue - Insurance Trust Revenue,thousands of us dollars (USD),Liquor store revenue,16,Total Revenue - Liquor Stores Revenue,thousands of us dollars (USD),Liquor store revenue,16,Total Revenue - Liquor Stores Revenue,thousands of us dollars (USD),Liquor store revenue,16,Total Revenue - Liquor Stores Revenue,thousands of us dollars (USD),Insurance trust revenue,16,Total Revenue - Insurance Trust Revenue,thousands of us dollars (USD),Insurance trust revenue,16,Total Revenue - Insurance Trust Revenue,thousands of us dollars (USD),Total expenditure,16,Total Expenditure,thousands of us dollars (USD),Total expenditure,16,Total Expenditure,thousands of us dollars (USD),Total expenditure,16,Total Expenditure,thousands of us dollars (USD),Total expenditure,16,Total Expenditure,thousands of us dollars (USD),Total expenditure,16,Total Expenditure,thousands of us dollars (USD),Total expenditure,16,Total Expenditure,thousands of us dollars (USD),Total expenditure,16,Total Expenditure,thousands of us dollars (USD),Total expenditure,16,Total Expenditure,thousands of us dollars (USD),SGF016,Total Revenue - Liquor Stores Revenue,thousands of us dollars (USD),SGF016,Total Revenue - Liquor Stores Revenue,thousands of us dollars (USD),2,Total Expenditure,thousands of us dollars (USD),2,Total Expenditure,thousands of us dollars (USD),2,Total Expenditure,thousands of us dollars (USD)
Total Expenditure,17,Total Expenditure,thousands of us dollars (USD),Total expenditure,17,Total Expenditure,thousands of us dollars (USD),Insurance trust revenue,17,Total Revenue - Insurance Trust Revenue,thousands of us dollars (USD),Insurance trust revenue,17,Total Revenue - Insurance Trust Revenue,thousands of us dollars (USD),Insurance trust revenue,17,Total Revenue - Insurance Trust Revenue,thousands of us dollars (USD),Total expenditure,17,Total Expenditure,thousands of us dollars (USD),Total expenditure,17,Total Expenditure,thousands of us dollars (USD),Intergovernmental expenditure,17,Total Expenditure - Intergovernmental Expenditure,thousands of us dollars (USD),Intergovernmental expenditure,17,Total Expenditure - Intergovernmental Expenditure,thousands of us dollars (USD),Intergovernmental expenditure,17,Total Expenditure - Intergovernmental Expenditure,thousands of us dollars (USD),Intergovernmental expenditure,17,Total Expenditure - Intergovernmental Expenditure,thousands of us dollars (USD),Intergovernmental expenditure,17,Total Expenditure - Intergovernmental Expenditure,thousands of us dollars (USD),Intergovernmental expenditure,17,Total Expenditure - Intergovernmental Expenditure,thousands of us dollars (USD),Intergovernmental expenditure,17,Total Expenditure - Intergovernmental Expenditure,thousands of us dollars (USD),Intergovernmental expenditure,17,Total Expenditure - Intergovernmental Expenditure,thousands of us dollars (USD),SGF017,Total Revenue - Insurance Trust Revenue,thousands of us dollars (USD),SGF017,Total Revenue - Insurance Trust Revenue,thousands of us dollars (USD),21,Total Expenditure - Intergovernmental Expenditure,thousands of us dollars (USD),21,Total Expenditure - Intergovernmental Expenditure,thousands of us dollars (USD),21,Total Expenditure - Intergovernmental Expenditure,thousands of us dollars (USD)
Intergovernmental expenditure,18,Total Expenditure - Intergovernmental Expenditure,thousands of us dollars (USD),Intergovernmental expenditure,18,Total Expenditure - Intergovernmental Expenditure,thousands of us dollars (USD),Total expenditure,18,Total Expenditure,thousands of us dollars (USD),Total expenditure,18,Total Expenditure,thousands of us dollars (USD),Total expenditure,18,Total Expenditure,thousands of us dollars (USD),Intergovernmental expenditure,18,Total Expenditure - Intergovernmental Expenditure,thousands of us dollars (USD),Intergovernmental expenditure,18,Total Expenditure - Intergovernmental Expenditure,thousands of us dollars (USD),Direct expenditure,18,Total Expenditure - Direct Expenditure,thousands of us dollars (USD),Direct expenditure,18,Total Expenditure - Direct Expenditure,thousands of us dollars (USD),Direct expenditure,18,Total Expenditure - Direct Expenditure,thousands of us dollars (USD),Direct expenditure,18,Total Expenditure - Direct Expenditure,thousands of us dollars (USD),Direct expenditure,18,Total Expenditure - Direct Expenditure,thousands of us dollars (USD),Direct expenditure,18,Total Expenditure - Direct Expenditure,thousands of us dollars (USD),Direct expenditure,18,Total Expenditure - Direct Expenditure,thousands of us dollars (USD),Direct expenditure,18,Total Expenditure - Direct Expenditure,thousands of us dollars (USD),SGF018,Total Revenue - Insurance Trust Revenue - Unemployment Compensation Systems,thousands of us dollars (USD),SGF018,Total Revenue - Insurance Trust Revenue - Unemployment Compensation Systems,thousands of us dollars (USD),22,Total Expenditure - Direct Expenditure,thousands of us dollars (USD),22,Total Expenditure - Direct Expenditure,thousands of us dollars (USD),22,Total Expenditure - Direct Expenditure,thousands of us dollars (USD)
Direct expenditure,19,Total Expenditure - Direct Expenditure,thousands of us dollars (USD),Direct expenditure,19,Total Expenditure - Direct Expenditure,thousands of us dollars (USD),Intergovernmental expenditure,19,Total Expenditure - Intergovernmental Expenditure,thousands of us dollars (USD),Intergovernmental expenditure,19,Total Expenditure - Intergovernmental Expenditure,thousands of us dollars (USD),Intergovernmental expenditure,19,Total Expenditure - Intergovernmental Expenditure,thousands of us dollars (USD),Direct expenditure,19,Total Expenditure - Direct Expenditure,thousands of us dollars (USD),Direct expenditure,19,Total Expenditure - Direct Expenditure,thousands of us dollars (USD),Current operation,19,Total Expenditure - Direct Expenditure - Current Operations,thousands of us dollars (USD),Current operation,19,Total Expenditure - Direct Expenditure - Current Operations,thousands of us dollars (USD),Current operation,19,Total Expenditure - Direct Expenditure - Current Operations,thousands of us dollars (USD),Current operation,19,Total Expenditure - Direct Expenditure - Current Operations,thousands of us dollars (USD),Current operation,19,Total Expenditure - Direct Expenditure - Current Operations,thousands of us dollars (USD),Current operation,19,Total Expenditure - Direct Expenditure - Current Operations,thousands of us dollars (USD),Current operation,19,Total Expenditure - Direct Expenditure - Current Operations,thousands of us dollars (USD),Current operation,19,Total Expenditure - Direct Expenditure - Current Operations,thousands of us dollars (USD),SGF019,Total Revenue - Insurance Trust Revenue - State-Administered Pension Systems,thousands of us dollars (USD),SGF019,Total Revenue - Insurance Trust Revenue - State-Administered Pension Systems,thousands of us dollars (USD),221,Total Expenditure - Direct Expenditure - Current Operations,thousands of us dollars (USD),221,Total Expenditure - Direct Expenditure - Current Operations,thousands of us dollars (USD),221,Total Expenditure - Direct Expenditure - Current Operations,thousands of us dollars (USD)
Current operation,20,Total Expenditure - Direct Expenditure - Current Operations,thousands of us dollars (USD),Current operation,20,Total Expenditure - Direct Expenditure - Current Operations,thousands of us dollars (USD),Direct expenditure,20,Total Expenditure - Direct Expenditure,thousands of us dollars (USD),Direct expenditure,20,Total Expenditure - Direct Expenditure,thousands of us dollars (USD),Direct expenditure,20,Total Expenditure - Direct Expenditure,thousands of us dollars (USD),Current operation,20,Total Expenditure - Direct Expenditure - Current Operations,thousands of us dollars (USD),Current operation,20,Total Expenditure - Direct Expenditure - Current Operations,thousands of us dollars (USD),Capital outlay,20,Total Expenditure - Direct Expenditure - Capital Outlay,thousands of us dollars (USD),Capital outlay,20,Total Expenditure - Direct Expenditure - Capital Outlay,thousands of us dollars (USD),Capital outlay,20,Total Expenditure - Direct Expenditure - Capital Outlay,thousands of us dollars (USD),Capital outlay,20,Total Expenditure - Direct Expenditure - Capital Outlay,thousands of us dollars (USD),Capital outlay,20,Total Expenditure - Direct Expenditure - Capital Outlay,thousands of us dollars (USD),Capital outlay,20,Total Expenditure - Direct Expenditure - Capital Outlay,thousands of us dollars (USD),Capital outlay,20,Total Expenditure - Direct Expenditure - Capital Outlay,thousands of us dollars (USD),Capital outlay,20,Total Expenditure - Direct Expenditure - Capital Outlay,thousands of us dollars (USD),SGF020,Total Revenue - Insurance Trust Revenue - Workers' Compensation Systems,thousands of us dollars (USD),SGF020,Total Revenue - Insurance Trust Revenue - Workers' Compensation Systems,thousands of us dollars (USD),222,Total Expenditure - Direct Expenditure - Capital Outlay,thousands of us dollars (USD),222,Total Expenditure - Direct Expenditure - Capital Outlay,thousands of us dollars (USD),222,Total Expenditure - Direct Expenditure - Capital Outlay,thousands of us dollars (USD)
Capital outlay,21,Total Expenditure - Direct Expenditure - Capital Outlay,thousands of us dollars (USD),Capital outlay,21,Total Expenditure - Direct Expenditure - Capital Outlay,thousands of us dollars (USD),Current operation,21,Total Expenditure - Direct Expenditure - Current Operations,thousands of us dollars (USD),Current operation,21,Total Expenditure - Direct Expenditure - Current Operations,thousands of us dollars (USD),Current operation,21,Total Expenditure - Direct Expenditure - Current Operations,thousands of us dollars (USD),Capital outlay,21,Total Expenditure - Direct Expenditure - Capital Outlay,thousands of us dollars (USD),Capital outlay,21,Total Expenditure - Direct Expenditure - Capital Outlay,thousands of us dollars (USD),Insurance benefits and repayments,21,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,thousands of us dollars (USD),Insurance benefits and repayments,21,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,thousands of us dollars (USD),Insurance benefits and repayments,21,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,thousands of us dollars (USD),Insurance benefits and repayments,21,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,thousands of us dollars (USD),Insurance benefits and repayments,21,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,thousands of us dollars (USD),Insurance benefits and repayments,21,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,thousands of us dollars (USD),Insurance benefits and repayments,21,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,thousands of us dollars (USD),Insurance benefits and repayments,21,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,thousands of us dollars (USD),SGF021,Total Revenue - Insurance Trust Revenue - Other Insurance Trust Systems,thousands of us dollars (USD),SGF021,Total Revenue - Insurance Trust Revenue - Other Insurance Trust Systems,thousands of us dollars (USD),223,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,thousands of us dollars (USD),223,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,thousands of us dollars (USD),223,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,thousands of us dollars (USD)
Insurance benefits and repayments,22,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,thousands of us dollars (USD),Insurance benefits and repayments,22,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,thousands of us dollars (USD),Capital outlay,22,Total Expenditure - Direct Expenditure - Capital Outlay,thousands of us dollars (USD),Capital outlay,22,Total Expenditure - Direct Expenditure - Capital Outlay,thousands of us dollars (USD),Capital outlay,22,Total Expenditure - Direct Expenditure - Capital Outlay,thousands of us dollars (USD),Insurance benefits and repayments,22,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,thousands of us dollars (USD),Insurance benefits and repayments,22,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,thousands of us dollars (USD),Assistance and subsidies,22,Total Expenditure - Direct Expenditure - Assistance and Subsidies,thousands of us dollars (USD),Assistance and subsidies,22,Total Expenditure - Direct Expenditure - Assistance and Subsidies,thousands of us dollars (USD),Assistance and subsidies,22,Total Expenditure - Direct Expenditure - Assistance and Subsidies,thousands of us dollars (USD),Assistance and subsidies,22,Total Expenditure - Direct Expenditure - Assistance and Subsidies,thousands of us dollars (USD),Assistance and subsidies,22,Total Expenditure - Direct Expenditure - Assistance and Subsidies,thousands of us dollars (USD),Assistance and subsidies,22,Total Expenditure - Direct Expenditure - Assistance and Subsidies,thousands of us dollars (USD),Assistance and subsidies,22,Total Expenditure - Direct Expenditure - Assistance and Subsidies,thousands of us dollars (USD),Assistance and subsidies,22,Total Expenditure - Direct Expenditure - Assistance and Subsidies,thousands of us dollars (USD),SGF022,Total Expenditure,thousands of us dollars (USD),SGF022,Total Expenditure,thousands of us dollars (USD),224,Total Expenditure - Direct Expenditure - Assistance and Subsidies,thousands of us dollars (USD),224,Total Expenditure - Direct Expenditure - Assistance and Subsidies,thousands of us dollars (USD),224,Total Expenditure - Direct Expenditure - Assistance and Subsidies,thousands of us dollars (USD)
Assistance and subsidies,23,Total Expenditure - Direct Expenditure - Assistance and Subsidies,thousands of us dollars (USD),Assistance and subsidies,23,Total Expenditure - Direct Expenditure - Assistance and Subsidies,thousands of us dollars (USD),Insurance benefits and repayments,23,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,thousands of us dollars (USD),Insurance benefits and repayments,23,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,thousands of us dollars (USD),Insurance benefits and repayments,23,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,thousands of us dollars (USD),Assistance and subsidies,23,Total Expenditure - Direct Expenditure - Assistance and Subsidies,thousands of us dollars (USD),Assistance and subsidies,23,Total Expenditure - Direct Expenditure - Assistance and Subsidies,thousands of us dollars (USD),Interest on debt,23,Total Expenditure - Direct Expenditure - Interest on Debt,thousands of us dollars (USD),Interest on debt,23,Total Expenditure - Direct Expenditure - Interest on Debt,thousands of us dollars (USD),Interest on debt,23,Total Expenditure - Direct Expenditure - Interest on Debt,thousands of us dollars (USD),Interest on debt,23,Total Expenditure - Direct Expenditure - Interest on Debt,thousands of us dollars (USD),Interest on debt,23,Total Expenditure - Direct Expenditure - Interest on Debt,thousands of us dollars (USD),Interest on debt,23,Total Expenditure - Direct Expenditure - Interest on Debt,thousands of us dollars (USD),Interest on debt,23,Total Expenditure - Direct Expenditure - Interest on Debt,thousands of us dollars (USD),Interest on debt,23,Total Expenditure - Direct Expenditure - Interest on Debt,thousands of us dollars (USD),SGF023,Total Expenditure - Intergovernmental Expenditure,thousands of us dollars (USD),SGF023,Total Expenditure - Intergovernmental Expenditure,thousands of us dollars (USD),225,Total Expenditure - Direct Expenditure - Interest on Debt,thousands of us dollars (USD),225,Total Expenditure - Direct Expenditure - Interest on Debt,thousands of us dollars (USD),225,Total Expenditure - Direct Expenditure - Interest on Debt,thousands of us dollars (USD)
Interest on debt,24,Total Expenditure - Direct Expenditure - Interest on Debt,thousands of us dollars (USD),Interest on debt,24,Total Expenditure - Direct Expenditure - Interest on Debt,thousands of us dollars (USD),Assistance and subsidies,24,Total Expenditure - Direct Expenditure - Assistance and Subsidies,thousands of us dollars (USD),Assistance and subsidies,24,Total Expenditure - Direct Expenditure - Assistance and Subsidies,thousands of us dollars (USD),Assistance and subsidies,24,Total Expenditure - Direct Expenditure - Assistance and Subsidies,thousands of us dollars (USD),Interest on debt,24,Total Expenditure - Direct Expenditure - Interest on Debt,thousands of us dollars (USD),Interest on debt,24,Total Expenditure - Direct Expenditure - Interest on Debt,thousands of us dollars (USD),Exhibit: Salaries and wages,24,Total Expenditure - Exhibit: Salaries and Wages,thousands of us dollars (USD),Exhibit: Salaries and wages,24,Total Expenditure - Exhibit: Salaries and Wages,thousands of us dollars (USD),Exhibit: Salaries and wages,24,Total Expenditure - Exhibit: Salaries and Wages,thousands of us dollars (USD),Exhibit: Salaries and wages,24,Total Expenditure - Exhibit: Salaries and Wages,thousands of us dollars (USD),Exhibit: Salaries and wages,24,Total Expenditure - Exhibit: Salaries and Wages,thousands of us dollars (USD),Exhibit: Salaries and wages,24,Total Expenditure - Exhibit: Salaries and Wages,thousands of us dollars (USD),Exhibit: Salaries and wages,24,Total Expenditure - Exhibit: Salaries and Wages,thousands of us dollars (USD),Exhibit: Salaries and wages,24,Total Expenditure - Exhibit: Salaries and Wages,thousands of us dollars (USD),SGF024,Total Expenditure - Direct Expenditure,thousands of us dollars (USD),SGF024,Total Expenditure - Direct Expenditure,thousands of us dollars (USD),23,Total Expenditure - General Expenditure,thousands of us dollars (USD),23,Total Expenditure - General Expenditure,thousands of us dollars (USD),23,Total Expenditure - General Expenditure,thousands of us dollars (USD)
Exhibit: Salaries and wages,25,Total Expenditure - Exhibit: Salaries and Wages,thousands of us dollars (USD),Exhibit: Salaries and wages,25,Total Expenditure - Exhibit: Salaries and Wages,thousands of us dollars (USD),Interest on debt,25,Total Expenditure - Direct Expenditure - Interest on Debt,thousands of us dollars (USD),Interest on debt,25,Total Expenditure - Direct Expenditure - Interest on Debt,thousands of us dollars (USD),Interest on debt,25,Total Expenditure - Direct Expenditure - Interest on Debt,thousands of us dollars (USD),Exhibit: Salaries and wages,25,Total Expenditure - Exhibit: Salaries and Wages,thousands of us dollars (USD),Exhibit: Salaries and wages,25,Total Expenditure - Exhibit: Salaries and Wages,thousands of us dollars (USD),Total expenditure,25,Total Expenditure,thousands of us dollars (USD),Total expenditure,25,Total Expenditure,thousands of us dollars (USD),Total expenditure,25,Total Expenditure,thousands of us dollars (USD),Total expenditure,25,Total Expenditure,thousands of us dollars (USD),Total expenditure,25,Total Expenditure,thousands of us dollars (USD),Total expenditure,25,Total Expenditure,thousands of us dollars (USD),Total expenditure,25,Total Expenditure,thousands of us dollars (USD),Total expenditure,25,Total Expenditure,thousands of us dollars (USD),SGF025,Total Expenditure - Direct Expenditure - Current Operations,thousands of us dollars (USD),SGF025,Total Expenditure - Direct Expenditure - Current Operations,thousands of us dollars (USD),231,Total Expenditure - General Expenditure - Intergovernmental General Expenditure,thousands of us dollars (USD),231,Total Expenditure - General Expenditure - Intergovernmental General Expenditure,thousands of us dollars (USD),231,Total Expenditure - General Expenditure - Intergovernmental General Expenditure,thousands of us dollars (USD)
