sgf,code,desc,units
SGF026,CAPOUT,Total Expenditure - Direct Expenditure - Capital Outlay,thousands of us dollars (USD)
SGF027,INSBEN,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,thousands of us dollars (USD)
SGF028,SUBSID,Total Expenditure - Direct Expenditure - Assistance and Subsidies,thousands of us dollars (USD)
SGF029,INTRST,Total Expenditure - Direct Expenditure - Interest on Debt,thousands of us dollars (USD)
SGF030,SALARY,Total Expenditure - Exhibit: Salaries and Wages,thousands of us dollars (USD)
SGF032,GENEXP,Total Expenditure - General Expenditure,thousands of us dollars (USD)
SGF034,DIRGEX,Total Expenditure - General Expenditure - Direct General Expenditure,thousands of us dollars (USD)
SGF036,EDUCAT,"General Expenditure, by Function: - Education",thousands of us dollars (USD)
SGF037,PUBWEL,"General Expenditure, by Function: - Public Welfare",thousands of us dollars (USD)
SGF038,HOSPTL,"General Expenditure, by Function: - Hospitals",thousands of us dollars (USD)
SGF039,HEALTH,"General Expenditure, by Function: - Health",thousands of us dollars (USD)
SGF040,HGHWAY,"General Expenditure, by Function: - Highways",thousands of us dollars (USD)
SGF041,POLICE,"General Expenditure, by Function: - Police Protection",thousands of us dollars (USD)
SGF042,CORREC,"General Expenditure, by Function: - Correction",thousands of us dollars (USD)
SGF043,NATRES,"General Expenditure, by Function: - Natural Resources",thousands of us dollars (USD)
SGF044,PARKRC,"General Expenditure, by Function: - Parks and Recreation",thousands of us dollars (USD)
SGF045,GOVADM,"General Expenditure, by Function: - Governmental Administration",thousands of us dollars (USD)
SGF046,INTGEN,"General Expenditure, by Function: - Interest on General Debt",thousands of us dollars (USD)
SGF047,OTHUNA,"General Expenditure, by Function: - Other and Unallocable",thousands of us dollars (USD)
SGF048,UTLEXP,Utility Expenditure,thousands of us dollars (USD)
SGF049,LIQEXP,Liquor Stores Expenditure,thousands of us dollars (USD)
SGF050,INSEXP,Insurance Trust Expenditure,thousands of us dollars (USD)
SGF055,DEBTFY,"Debt Outstanding, Long Term and Short Term",thousands of us dollars (USD)
SGF056,CASHSH,Cash and Security Holdings,thousands of us dollars (USD)
1,TOTREV,Total Revenue,thousands of us dollars (USD)
10,GENREV,Total Revenue - General Revenue,thousands of us dollars (USD)
101,INTREV,Total Revenue - General Revenue - Intergovernmental Revenue,thousands of us dollars (USD)
102,TAXREV,Total Revenue - General Revenue - Total Taxes,thousands of us dollars (USD)
1021,GSALES,Total Revenue - General Revenue - Total Taxes - General Sales and Gross Receipts Taxes,thousands of us dollars (USD)
1022,SSALES,Total Revenue - General Revenue - Total Taxes - Selective Sales and Gross Receipts Taxes,thousands of us dollars (USD)
1023,LICTAX,Total Revenue - General Revenue - Total Taxes - License Taxes,thousands of us dollars (USD)
1024,INDTAX,Total Revenue - General Revenue - Total Taxes - Individual Income Taxes,thousands of us dollars (USD)
1025,CORTAX,Total Revenue - General Revenue - Total Taxes - Corporation Net Income Taxes,thousands of us dollars (USD)
1026,OTHTAX,Total Revenue - General Revenue - Total Taxes - All Other Taxes,thousands of us dollars (USD)
103,CURCHG,Total Revenue - General Revenue - Current Charges,thousands of us dollars (USD)
104,MSCREV,Total Revenue - General Revenue - Miscellaneous General Revenue,thousands of us dollars (USD)
11,UTLREV,Total Revenue - Utility Revenue,thousands of us dollars (USD)
12,LIQREV,Total Revenue - Liquor Stores Revenue,thousands of us dollars (USD)
13,INSREV,Total Revenue - Insurance Trust Revenue,thousands of us dollars (USD)
2,TOTEXP,Total Expenditure,thousands of us dollars (USD)
21,INTEXP,Total Expenditure - Intergovernmental Expenditure,thousands of us dollars (USD)
22,DIREXP,Total Expenditure - Direct Expenditure,thousands of us dollars (USD)
221,CUROPR,Total Expenditure - Direct Expenditure - Current Operations,thousands of us dollars (USD)
222,CAPOUT,Total Expenditure - Direct Expenditure - Capital Outlay,thousands of us dollars (USD)
223,INSBEN,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,thousands of us dollars (USD)
224,SUBSID,Total Expenditure - Direct Expenditure - Assistance and Subsidies,thousands of us dollars (USD)
225,INTRST,Total Expenditure - Direct Expenditure - Interest on Debt,thousands of us dollars (USD)
23,GENEXP,Total Expenditure - General Expenditure,thousands of us dollars (USD)
232,DIRGEX,Total Expenditure - General Expenditure - Direct General Expenditure,thousands of us dollars (USD)
234,EDUCAT,"General Expenditure, by Function: - Education",thousands of us dollars (USD)
2341,PUBWEL,"General Expenditure, by Function: - Public Welfare",thousands of us dollars (USD)
2342,HOSPTL,"General Expenditure, by Function: - Hospitals",thousands of us dollars (USD)
2343,HEALTH,"General Expenditure, by Function: - Health",thousands of us dollars (USD)
2344,HGHWAY,"General Expenditure, by Function: - Highways",thousands of us dollars (USD)
2345,POLICE,"General Expenditure, by Function: - Police Protection",thousands of us dollars (USD)
2346,CORREC,"General Expenditure, by Function: - Correction",thousands of us dollars (USD)
2347,NATRES,"General Expenditure, by Function: - Natural Resources",thousands of us dollars (USD)
2348,PARKRC,"General Expenditure, by Function: - Parks and Recreation",thousands of us dollars (USD)
2349,GOVADM,"General Expenditure, by Function: - Governmental Administration",thousands of us dollars (USD)
2350,INTGEN,"General Expenditure, by Function: - Interest on General Debt",thousands of us dollars (USD)
2351,OTHUNA,"General Expenditure, by Function: - Other and Unallocable",thousands of us dollars (USD)
25,UTLEXP,Utility Expenditure,thousands of us dollars (USD)
26,LIQEXP,Liquor Stores Expenditure,thousands of us dollars (USD)
27,INSEXP,Insurance Trust Expenditure,thousands of us dollars (USD)
3,SALARY,Total Expenditure - Exhibit: Salaries and Wages,thousands of us dollars (USD)
98,DEBTFY,"Debt Outstanding, Long Term and Short Term",thousands of us dollars (USD)
99,CASHSH,Cash and Security Holdings,thousands of us dollars (USD)
