bea_code,bea_desc,naics_code,notes,naics_desc
333130,Mining and oil and gas field machinery manufacturing,33313,,Mining and oil and gas field machinery manufacturing
333242,Semiconductor machinery manufacturing,333242,,Semiconductor machinery manufacturing
33329A,Other industrial machinery manufacturing,333241,,Food product machinery manufacturing
33329A,Other industrial machinery manufacturing,333243,,"Sawmill, woodworking, and paper machinery manufacturing"
33329A,Other industrial machinery manufacturing,333244,,Printing machinery and equipment manufacturing
33329A,Other industrial machinery manufacturing,333249,,Other industrial machinery manufacturing
333314,Optical instrument and lens manufacturing,333314,,Optical instrument and lens manufacturing
333316,Photographic and photocopying equipment manufacturing,333316,,Photographic and photocopying equipment manufacturing
333318,Other commercial and service industry machinery manufacturing,333318,,Other commercial and service industry machinery manufacturing
333413,Industrial and commercial fan and blower and air purification equipment manufacturing,333413,,Industrial and commercial fan and blower and air purification equipment manufacturing
333414,Heating equipment (except warm air furnaces) manufacturing,333414,,Heating equipment (except warm air furnaces) manufacturing
333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",333415,,Air-conditioning and warm air heating equipment and commercial and industrial refrigeration equipment manufacturing
333511,Industrial mold manufacturing,333511,,Industrial mold manufacturing
333517,Machine tool manufacturing,333517,,Machine tool manufacturing
333514,"Special tool, die, jig, and fixture manufacturing",333514,,"Special die and tool, die set, jig, and fixture manufacturing"
33351B,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing",333515,,Cutting tool and machine tool accessory manufacturing
33351B,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing",333519,,Rolling mill and other metalworking machinery manufacturing
333611,Turbine and turbine generator set units manufacturing,333611,,Turbine and turbine generator set units manufacturing
333612,"Speed changer, industrial high-speed drive, and gear manufacturing",333612,,"Speed changer, industrial high-speed drive, and gear manufacturing"
333613,Mechanical power transmission equipment manufacturing,333613,,Mechanical power transmission equipment manufacturing
333618,Other engine equipment manufacturing,333618,,Other engine equipment manufacturing
33391A,Pump and pumping equipment manufacturing,333911,,
33391A,Pump and pumping equipment manufacturing,333913,,
333912,Air and gas compressor manufacturing,333912,,Air and gas compressor manufacturing
333920,Material handling equipment manufacturing,33392,,Material handling equipment manufacturing
333991,Power-driven handtool manufacturing,333991,,Power-driven handtool manufacturing
33399A,Other general purpose machinery manufacturing,333992,,Welding and soldering equipment manufacturing
33399A,Other general purpose machinery manufacturing,333997,,Scale and balance manufacturing
33399A,Other general purpose machinery manufacturing,333999,,All other miscellaneous general purpose machinery manufacturing
333993,Packaging machinery manufacturing,333993,,Packaging machinery manufacturing
333994,Industrial process furnace and oven manufacturing,333994,,Industrial process furnace and oven manufacturing
33399B,Fluid power process machinery,333995,,Fluid power cylinder and actuator manufacturing
33399B,Fluid power process machinery,333996,,Fluid power pump and motor manufacturing
334111,Electronic computer manufacturing,334111,,Electronic computer manufacturing
334112,Computer storage device manufacturing,334112,,Computer storage device manufacturing
334118,Computer terminals and other computer peripheral equipment manufacturing,334118,,Computer terminal and other computer peripheral equipment manufacturing
334210,Telephone apparatus manufacturing,33421,,Telephone apparatus manufacturing
334220,Broadcast and wireless communications equipment,33422,,Radio and television broadcasting and wireless communications equipment manufacturing
334290,Other communications equipment manufacturing,33429,,Other communications equipment manufacturing
334413,Semiconductor and related device manufacturing,334413,,Semiconductor and related device manufacturing
334418,Printed circuit assembly (electronic assembly) manufacturing,334418,,Printed circuit assembly (electronic assembly) manufacturing
33441A,Other electronic component manufacturing,334412,,Bare printed circuit board manufacturing
33441A,Other electronic component manufacturing,334416,,"Capacitor, resistor, coil, transformer, and other inductor manufacturing"
33441A,Other electronic component manufacturing,334417,,Electronic connector manufacturing
33441A,Other electronic component manufacturing,334419,,Other electronic component manufacturing
334510,Electromedical and electrotherapeutic apparatus manufacturing,334510,,Electromedical and electrotherapeutic apparatus manufacturing
334511,"Search, detection, and navigation instruments manufacturing",334511,,"Search, detection, navigation, guidance, aeronautical, and nautical system and instrument manufacturing"
334512,Automatic environmental control manufacturing,334512,,"Automatic environmental control manufacturing for residential, commercial, and appliance use"
334513,Industrial process variable instruments manufacturing,334513,,"Instruments and related products manufacturing for measuring, displaying, and controlling industrial process variables"
334514,Totalizing fluid meter and counting device manufacturing,334514,,Totalizing fluid meter and counting device manufacturing
334515,Electricity and signal testing instruments manufacturing,334515,,Instrument manufacturing for measuring and testing electricity and electrical signals
334516,Analytical laboratory instrument manufacturing,334516,,Analytical laboratory instrument manufacturing
334517,Irradiation apparatus manufacturing,334517,,Irradiation apparatus manufacturing
33451A,"Watch, clock, and other measuring and controlling device manufacturing",334519,,Other measuring and controlling device manufacturing
334300,Audio and video equipment manufacturing,3343,,Audio and video equipment manufacturing
334610,Manufacturing and reproducing magnetic and optical media,33461,,Manufacturing and reproducing magnetic and optical media
335110,Electric lamp bulb and part manufacturing,33511,,Electric lamp bulb and part manufacturing
335120,Lighting fixture manufacturing,33512,,Lighting fixture manufacturing
335210,Small electrical appliance manufacturing,33521,,Small electrical appliance manufacturing
335221,Household cooking appliance manufacturing,335221,,
335222,Household refrigerator and home freezer manufacturing,335222,,
335224,Household laundry equipment manufacturing,335224,,
335228,Other major household appliance manufacturing,335228,,
335311,"Power, distribution, and specialty transformer manufacturing",335311,,"Power, distribution, and specialty transformer manufacturing"
335312,Motor and generator manufacturing,335312,,Motor and generator manufacturing
335313,Switchgear and switchboard apparatus manufacturing,335313,,Switchgear and switchboard apparatus manufacturing
335314,Relay and industrial control manufacturing,335314,,Relay and industrial control manufacturing
335911,Storage battery manufacturing,335911,,Storage battery manufacturing
335912,Primary battery manufacturing,335912,,Primary battery manufacturing
335920,Communication and energy wire and cable manufacturing,33592,,Communication and energy wire and cable manufacturing
335930,Wiring device manufacturing,33593,,Wiring device manufacturing
335991,Carbon and graphite product manufacturing,335991,,Carbon and graphite product manufacturing
335999,All other miscellaneous electrical equipment and component manufacturing,335999,,All other miscellaneous electrical equipment and component manufacturing
336111,Automobile manufacturing,336111,,Automobile manufacturing
336112,Light truck and utility vehicle manufacturing,336112,,Light truck and utility vehicle manufacturing
336120,Heavy duty truck manufacturing,33612,,Heavy duty truck manufacturing
336211,Motor vehicle body manufacturing,336211,,Motor vehicle body manufacturing
336212,Truck trailer manufacturing,336212,,Truck trailer manufacturing
336213,Motor home manufacturing,336213,,Motor home manufacturing
336214,Travel trailer and camper manufacturing,336214,,Travel trailer and camper manufacturing
336310,Motor vehicle gasoline engine and engine parts manufacturing,33631,,Motor vehicle gasoline engine and engine parts manufacturing
336320,Motor vehicle electrical and electronic equipment manufacturing,33632,,Motor vehicle electrical and electronic equipment manufacturing
3363A0,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",33633,,Motor vehicle steering and suspension components (except spring) manufacturing
3363A0,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",33634,,Motor vehicle brake system manufacturing
336350,Motor vehicle transmission and power train parts manufacturing,33635,,Motor vehicle transmission and power train parts manufacturing
336360,Motor vehicle seating and interior trim manufacturing,33636,,Motor vehicle seating and interior trim manufacturing
336370,Motor vehicle metal stamping,33637,,Motor vehicle metal stamping
336390,Other motor vehicle parts manufacturing,33639,,Other motor vehicle parts manufacturing
336411,Aircraft manufacturing,336411,,Aircraft manufacturing
336412,Aircraft engine and engine parts manufacturing,336412,,Aircraft engine and engine parts manufacturing
336413,Other aircraft parts and auxiliary equipment manufacturing,336413,,Other aircraft parts and auxiliary equipment manufacturing
336414,Guided missile and space vehicle manufacturing,336414,,Guided missile and space vehicle manufacturing
33641A,Propulsion units and parts for space vehicles and guided missiles,336415,,Guided missile and space vehicle propulsion unit and propulsion unit parts manufacturing
33641A,Propulsion units and parts for space vehicles and guided missiles,336419,,Other guided missile and space vehicle parts and auxiliary equipment manufacturing
336500,Railroad rolling stock manufacturing,3365,,Railroad rolling stock manufacturing
336611,Ship building and repairing,336611,,Ship building and repairing
336612,Boat building,336612,,Boat building
336991,"Motorcycle, bicycle, and parts manufacturing",336991,,"Motorcycle, bicycle, and parts manufacturing"
336992,"Military armored vehicle, tank, and tank component manufacturing",336992,,"Military armored vehicle, tank, and tank component manufacturing"
336999,All other transportation equipment manufacturing,336999,,All other transportation equipment manufacturing
337110,Wood kitchen cabinet and countertop manufacturing,33711,,Wood kitchen cabinet and countertop manufacturing
337121,Upholstered household furniture manufacturing,337121,,Upholstered household furniture manufacturing
337122,Nonupholstered wood household furniture manufacturing,337122,,Nonupholstered wood household furniture manufacturing
33712N,Other household nonupholstered furniture,337124,,Metal household furniture manufacturing
33712N,Other household nonupholstered furniture,337125,,Household furniture (except wood and metal) manufacturing
337127,Institutional furniture manufacturing,337127,,Institutional furniture manufacturing
33721A,Office furniture and custom architectural woodwork and millwork manufacturing,337211,,Wood office furniture manufacturing
33721A,Office furniture and custom architectural woodwork and millwork manufacturing,337212,,Custom architectural woodwork and millwork manufacturing
33721A,Office furniture and custom architectural woodwork and millwork manufacturing,337214,,Office furniture (except wood) manufacturing
337215,"Showcase, partition, shelving, and locker manufacturing",337215,,"Showcase, partition, shelving, and locker manufacturing"
337900,Other furniture related product manufacturing,3379,,Other furniture related product manufacturing
339112,Surgical and medical instrument manufacturing,339112,,Surgical and medical instrument manufacturing
339113,Surgical appliance and supplies manufacturing,339113,,Surgical appliance and supplies manufacturing
339114,Dental equipment and supplies manufacturing,339114,,Dental equipment and supplies manufacturing
339115,Ophthalmic goods manufacturing,339115,,Ophthalmic goods manufacturing
339116,Dental laboratories,339116,,Dental laboratories
339910,Jewelry and silverware manufacturing,33991,,Jewelry and silverware manufacturing
339920,Sporting and athletic goods manufacturing,33992,,Sporting and athletic goods manufacturing
339930,"Doll, toy, and game manufacturing",33993,,"Doll, toy, and game manufacturing"
339940,Office supplies (except paper) manufacturing,33994,,Office supplies (except paper) manufacturing
339950,Sign manufacturing,33995,,Sign manufacturing
339990,All other miscellaneous manufacturing,33999,,All other miscellaneous manufacturing
311111,Dog and cat food manufacturing,311111,,Dog and cat food manufacturing
311119,Other animal food manufacturing,311119,,Other animal food manufacturing
311210,Flour milling and malt manufacturing,31121,,Flour milling and malt manufacturing
311221,Wet corn milling,311221,,Wet corn milling
311224,Soybean and other oilseed processing,311224,,Soybean and other oilseed processing
311225,Fats and oils refining and blending,311225,,Fats and oils refining and blending
311230,Breakfast cereal manufacturing,31123,,Breakfast cereal manufacturing
311300,Sugar and confectionery product manufacturing,3113,,Sugar and confectionery product manufacturing
311410,Frozen food manufacturing,31141,,Frozen food manufacturing
311420,"Fruit and vegetable canning, pickling, and drying",31142,,"Fruit and vegetable canning, pickling, and drying"
31151A,Fluid milk and butter manufacturing,311511,,Fluid milk manufacturing
31151A,Fluid milk and butter manufacturing,311512,,Creamery butter manufacturing
311513,Cheese manufacturing,311513,,Cheese manufacturing
311514,"Dry, condensed, and evaporated dairy product manufacturing",311514,,"Dry, condensed, and evaporated dairy product manufacturing"
311520,Ice cream and frozen dessert manufacturing,31152,,Ice cream and frozen dessert manufacturing
31161A,"Animal (except poultry) slaughtering, rendering, and processing",311611,,Animal (except poultry) slaughtering
31161A,"Animal (except poultry) slaughtering, rendering, and processing",311612,,Meat processed from carcasses
31161A,"Animal (except poultry) slaughtering, rendering, and processing",311613,,Rendering and meat byproduct processing
311615,Poultry processing,311615,,Poultry processing
311700,Seafood product preparation and packaging,3117,,Seafood product preparation and packaging
311810,Bread and bakery product manufacturing,31181,,Bread and bakery product manufacturing
3118A0,"Cookie, cracker, pasta, and tortilla manufacturing",31182,,"Cookie, cracker, and pasta manufacturing"
3118A0,"Cookie, cracker, pasta, and tortilla manufacturing",31183,,Tortilla manufacturing
311910,Snack food manufacturing,31191,,Snack food manufacturing
311920,Coffee and tea manufacturing,31192,,Coffee and tea manufacturing
311930,Flavoring syrup and concentrate manufacturing,31193,,Flavoring syrup and concentrate manufacturing
311940,Seasoning and dressing manufacturing,31194,,Seasoning and dressing manufacturing
311990,All other food manufacturing,31199,,All other food manufacturing
312110,Soft drink and ice manufacturing,31211,,Soft drink and ice manufacturing
312120,Breweries,31212,,Breweries
312130,Wineries,31213,,Wineries
312140,Distilleries,31214,,Distilleries
312200,Tobacco manufacturing,3122,,Tobacco manufacturing
313100,"Fiber, yarn, and thread mills",3131,,"Fiber, yarn, and thread mills"
313200,Fabric mills,3132,,Fabric mills
313300,Textile and fabric finishing and fabric coating mills,3133,,Textile and fabric finishing and fabric coating mills
314110,Carpet and rug mills,31411,,Carpet and rug mills
314120,Curtain and linen mills,31412,,Curtain and linen mills
314900,Other textile product mills,3149,,Other textile product mills
315000,Apparel manufacturing,315,,Apparel manufacturing
316000,Leather and allied product manufacturing,316,,Leather and allied product manufacturing
322110,Pulp mills,32211,,Pulp mills
322120,Paper mills,32212,,Paper mills
322130,Paperboard mills,32213,,Paperboard mills
322210,Paperboard container manufacturing,32221,,Paperboard container manufacturing
322220,Paper bag and coated and treated paper manufacturing,32222,,Paper bag and coated and treated paper manufacturing
322230,Stationery product manufacturing,32223,,Stationery product manufacturing
322291,Sanitary paper product manufacturing,322291,,Sanitary paper product manufacturing
322299,All other converted paper product manufacturing,322299,,All other converted paper product manufacturing
323110,Printing,32311,,Printing
323120,Support activities for printing,32312,,Support activities for printing
324110,Petroleum refineries,32411,,Petroleum refineries
324121,Asphalt paving mixture and block manufacturing,324121,,Asphalt paving mixture and block manufacturing
324122,Asphalt shingle and coating materials manufacturing,324122,,Asphalt shingle and coating materials manufacturing
324190,Other petroleum and coal products manufacturing,32419,,Other petroleum and coal products manufacturing
325110,Petrochemical manufacturing,32511,,Petrochemical manufacturing
325120,Industrial gas manufacturing,32512,,Industrial gas manufacturing
325130,Synthetic dye and pigment manufacturing,32513,,Synthetic dye and pigment manufacturing
325180,Other basic inorganic chemical manufacturing,32518,,Other basic inorganic chemical manufacturing
325190,Other basic organic chemical manufacturing,32519,,Other basic organic chemical manufacturing
325211,Plastics material and resin manufacturing,325211,,Plastics material and resin manufacturing
3252A0,Synthetic rubber and artificial and synthetic fibers and filaments manufacturing,325212,,Synthetic rubber manufacturing
3252A0,Synthetic rubber and artificial and synthetic fibers and filaments manufacturing,32522,,Artificial and synthetic fibers and filaments manufacturing
325411,Medicinal and botanical manufacturing,325411,,Medicinal and botanical manufacturing
325412,Pharmaceutical preparation manufacturing,325412,,Pharmaceutical preparation manufacturing
325413,In-vitro diagnostic substance manufacturing,325413,,In-vitro diagnostic substance manufacturing
325414,Biological product (except diagnostic) manufacturing,325414,,Biological product (except diagnostic) manufacturing
325310,Fertilizer manufacturing,32531,,Fertilizer manufacturing
325320,Pesticide and other agricultural chemical manufacturing,32532,,Pesticide and other agricultural chemical manufacturing
325510,Paint and coating manufacturing,32551,,Paint and coating manufacturing
325520,Adhesive manufacturing,32552,,Adhesive manufacturing
325610,Soap and cleaning compound manufacturing,32561,,Soap and cleaning compound manufacturing
325620,Toilet preparation manufacturing,32562,,Toilet preparation manufacturing
325910,Printing ink manufacturing,32591,,Printing ink manufacturing
3259A0,All other chemical product and preparation manufacturing,32592,,Explosives manufacturing
3259A0,All other chemical product and preparation manufacturing,32599,,All other chemical product and preparation manufacturing
326110,Plastics packaging materials and unlaminated film and sheet manufacturing,32611,,Plastics packaging materials and unlaminated film and sheet manufacturing
326120,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing",32612,,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing"
326130,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",32613,,"Laminated plastics plate, sheet (except packaging), and shape manufacturing"
326140,Polystyrene foam product manufacturing,32614,,Polystyrene foam product manufacturing
326150,Urethane and other foam product (except polystyrene) manufacturing,32615,,Urethane and other foam product (except polystyrene) manufacturing
326160,Plastics bottle manufacturing,32616,,Plastics bottle manufacturing
326190,Other plastics product manufacturing,32619,,Other plastics product manufacturing
326210,Tire manufacturing,32621,,Tire manufacturing
326220,Rubber and plastics hoses and belting manufacturing,32622,,Rubber and plastics hoses and belting manufacturing
326290,Other rubber product manufacturing,32629,,Other rubber product manufacturing
423100,Motor vehicle and motor vehicle parts and supplies,4231,,Motor vehicle and motor vehicle parts and supplies merchant wholesalers
423400,Professional and commercial equipment and supplies,4234,,Professional and commercial equipment and supplies merchant wholesalers
423600,Household appliances and electrical and electronic goods,4236,,Household appliances and electrical and electronic goods merchant wholesalers
423800,"Machinery, equipment, and supplies",4238,,"Machinery, equipment, and supplies merchant wholesalers"
423A00,Other durable goods merchant wholesalers,4232,,Furniture and home furnishing merchant wholesalers
423A00,Other durable goods merchant wholesalers,4233,,Lumber and other construction materials merchant wholesalers
423A00,Other durable goods merchant wholesalers,4235,,Metal and mineral (except petroleum) merchant wholesalers
423A00,Other durable goods merchant wholesalers,4237,,"Hardware, and plumbing and heating equipment and supplies merchant wholesalers"
423A00,Other durable goods merchant wholesalers,4239,,Miscellaneous durable goods merchant wholesalers
424200,Drugs and druggists' sundries,4242,,Drugs and druggists' sundries merchant wholesalers
424400,Grocery and related product wholesalers,4244,,Grocery and related product merchant wholesalers
424700,Petroleum and petroleum products,4247,,Petroleum and petroleum products merchant wholesalers
424A00,Other nondurable goods merchant wholesalers,4241,,Paper and paper product merchant wholesalers
424A00,Other nondurable goods merchant wholesalers,4243,,"Apparel, piece goods, and notions merchant wholesalers"
424A00,Other nondurable goods merchant wholesalers,4245,,Farm product raw material merchant wholesalers
424A00,Other nondurable goods merchant wholesalers,4246,,Chemical and allied products merchant wholesalers
424A00,Other nondurable goods merchant wholesalers,4248,,"Beer, wine, and distilled alcoholic beverage merchant wholesalers"
424A00,Other nondurable goods merchant wholesalers,4249,,Miscellaneous nondurable goods merchant wholesalers
425000,Wholesale electronic markets and agents and brokers,425,,Wholesale electronic markets and agents and brokers
4200ID,Customs duties,,,
441000,Motor vehicle and parts dealers,441,,Motor vehicle and parts dealers
445000,Food and beverage stores,445,,Food and beverage stores
452000,General merchandise stores,452,,General merchandise stores
444000,Building material and garden equipment and supplies dealers,444,,Building material and garden equipment and supplies dealers
446000,Health and personal care stores,446,,Health and personal care stores
447000,Gasoline stations,447,,Gasoline stations
448000,Clothing and clothing accessories stores,448,,Clothing and clothing accessories stores
454000,Nonstore retailers,454,,Nonstore retailers
4B0000,All other retail,442,,Furniture and home furnishings stores
4B0000,All other retail,443,,Electronics and appliance stores
4B0000,All other retail,451,,"Sporting goods, hobby, musical instrument, and book stores"
4B0000,All other retail,453,,Miscellaneous store retailers
481000,Air transportation,481,,Air transportation
482000,Rail transportation,482,,Rail transportation
483000,Water transportation,483,,Water transportation
484000,Truck transportation,484,,Truck transportation
485000,Transit and ground passenger transportation,485,,Transit and ground passenger transportation
486000,Pipeline transportation,486,,Pipeline transportation
48A000,Scenic and sightseeing transportation and support activities,487,,Scenic and sightseeing transportation
48A000,Scenic and sightseeing transportation and support activities,488,,Support activities for transportation
492000,Couriers and messengers,492,,Couriers and messengers
493000,Warehousing and storage,493,,Warehousing and storage
511110,Newspaper publishers,51111,,Newspaper publishers
511120,Periodical publishers,51112,,Periodical publishers
511130,Book publishers,51113,,Book publishers
5111A0,"Directory, mailing list, and other publishers",51114,,Directory and mailing list publishers
5111A0,"Directory, mailing list, and other publishers",51119,,Other publishers
511200,Software publishers,51121,,Software publishers
512100,Motion picture and video industries,5121,,Motion picture and video industries
512200,Sound recording industries,5122,,Sound recording industries
515100,Radio and television broadcasting,5151,,Radio and television broadcasting
515200,Cable and other subscription programming,5152,,Cable and other subscription programming
517110,Wired telecommunications carriers,5171,,
517210,Wireless telecommunications carriers (except satellite),5172,,
517A00,"Satellite, telecommunications resellers, and all other telecommunications",5174,,Satellite telecommunications
517A00,"Satellite, telecommunications resellers, and all other telecommunications",5175,,
517A00,"Satellite, telecommunications resellers, and all other telecommunications",5176,,
517A00,"Satellite, telecommunications resellers, and all other telecommunications",5177,,
